pemaritl,pesa1,fmstm1900,fmagem,yofm,fbm1900,yofb,fb_girl,fmendm1900,yofd,fmdiv,fmdivsep,fmwid,cpsyear,iid,a_age,a_sex,bdm1900,yob,black,orace,cdiv,coll,hs,a_fnlwgt
DIVORCED,1,856,215,71,862,71,0,963,80,1,1,0,1995,95000000,42,2,641,53,0,0,1,0,1,883.15802
MARRIED - SPOUSE PRESENT,3,1065,300,88,996,82,0,1075,89,1,1,0,1995,95000000,31,2,765,63,0,0,1,1,0,932.04901
MARRIED - SPOUSE PRESENT,2,849,253,70,875,72,0,1146,95,0,0,0,1995,95000000,45,2,596,49,0,1,1,0,1,642.79688
MARRIED - SPOUSE PRESENT,2,939,205,78,981,81,0,1006,83,1,1,0,1995,95000000,34,2,734,61,0,0,1,0,1,932.04901
WIDOWED,2,561,176,46,733,61,0,760,63,0,0,1,1995,95000008,63,2,385,32,0,0,1,0,1,799.77509
MARRIED - SPOUSE PRESENT,2,848,263,70,863,71,0,1146,95,0,0,0,1995,95000008,46,2,585,48,0,0,1,0,1,881.77417
MARRIED - SPOUSE PRESENT,2,689,246,57,716,59,0,1146,95,0,0,0,1995,95000008,58,2,443,36,0,0,1,0,1,817.5791
MARRIED - SPOUSE PRESENT,1,874,370,72,1004,83,0,1146,95,0,0,0,1995,95000008,53,2,504,41,0,0,1,0,1,729.86438
MARRIED - SPOUSE PRESENT,3,839,284,69,855,71,1,1146,95,0,0,0,1995,95000008,49,2,555,46,0,0,1,0,0,753.07721
MARRIED - SPOUSE PRESENT,3,719,297,59,731,60,0,860,71,1,1,0,1995,95000008,60,2,422,35,0,0,1,0,0,809.99622
WIDOWED,1,753,263,62,789,65,0,835,69,0,0,1,1995,95000008,54,2,490,40,0,0,1,0,1,729.86438
MARRIED - SPOUSE PRESENT,None,1048,278,87,,,,1146,95,0,0,0,1995,95000016,31,2,770,64,0,0,1,0,1,747.79572
MARRIED - SPOUSE PRESENT,1,1085,245,90,1102,91,0,1146,95,0,0,0,1995,95000016,25,2,840,69,0,0,1,0,1,725.94427
MARRIED - SPOUSE PRESENT,None,907,255,75,,,,1146,95,0,0,0,1995,95000016,41,2,652,54,0,0,1,0,1,698.3042
WIDOWED,3,802,199,66,807,67,1,1028,85,0,0,1,1995,95000016,45,2,603,50,0,0,1,0,1,753.07721
MARRIED - SPOUSE PRESENT,3,931,237,77,955,79,0,1146,95,0,0,0,1995,95000016,37,2,694,57,0,0,1,0,1,728.5639
MARRIED - SPOUSE PRESENT,6,741,251,61,752,62,0,1146,95,0,0,0,1995,95000016,54,2,490,40,0,0,1,0,1,729.86438
MARRIED - SPOUSE PRESENT,None,1124,244,93,,,,1146,95,0,0,0,1995,95000016,22,2,880,73,0,0,1,0,1,776.0777
MARRIED - SPOUSE PRESENT,3,896,251,74,853,71,1,1146,95,0,0,0,1995,95000016,41,2,645,53,0,0,1,0,1,698.3042
MARRIED - SPOUSE PRESENT,2,655,204,54,670,55,1,1146,95,0,0,0,1995,95000016,57,2,451,37,0,0,1,0,0,734.48889
MARRIED - SPOUSE PRESENT,3,815,266,67,850,70,1,1146,95,0,0,0,1995,95000024,49,2,549,45,0,0,1,0,0,753.07721
MARRIED - SPOUSE PRESENT,2,1008,311,83,1011,84,0,1146,95,0,0,0,1995,95000024,37,2,697,58,0,0,1,0,1,812.70117
MARRIED - SPOUSE PRESENT,2,798,251,66,807,67,0,1146,95,0,0,0,1995,95000024,49,2,547,45,0,0,1,0,1,774.48969
MARRIED - SPOUSE PRESENT,None,635,233,52,,,,1146,95,0,0,0,1995,95000024,62,2,402,33,0,0,1,0,1,817.48547
DIVORCED,6,590,182,49,594,49,1,925,77,1,1,0,1995,95000024,61,2,408,33,0,0,1,0,0,817.85687
MARRIED - SPOUSE PRESENT,None,858,272,71,,,,1146,95,0,0,0,1995,95000024,46,2,586,48,0,0,1,0,1,828.87268
DIVORCED,2,669,212,55,675,56,0,813,67,1,1,0,1995,95000024,57,2,457,38,0,0,1,0,0,829.50537
MARRIED - SPOUSE PRESENT,2,1008,309,83,960,79,0,1146,95,0,0,0,1995,95000032,37,2,699,58,0,0,1,0,1,839.56012
DIVORCED,3,838,189,69,840,69,0,855,71,1,1,0,1995,95000032,41,2,649,54,0,0,1,1,0,821.44452
MARRIED - SPOUSE PRESENT,2,706,220,58,749,62,0,1146,95,0,0,0,1995,95000032,55,2,486,40,0,0,1,0,1,829.50537
DIVORCED,5,617,212,51,623,51,0,858,71,1,1,0,1995,95000032,61,2,405,33,0,0,1,0,1,765.07159
MARRIED - SPOUSE PRESENT,3,791,220,65,838,69,0,1146,95,0,0,0,1995,95000032,47,2,571,47,0,0,1,0,1,850.9931
MARRIED - SPOUSE PRESENT,4,937,243,78,958,79,0,1146,95,0,0,0,1995,95000032,37,2,694,57,0,0,1,0,1,772.31488
MARRIED - SPOUSE PRESENT,None,1119,292,93,,,,1146,95,0,0,0,1995,95000032,26,2,827,68,0,0,1,1,0,891.552
MARRIED - SPOUSE PRESENT,2,1115,259,92,1120,93,1,1146,95,0,0,0,1995,95000032,24,2,856,71,0,0,1,1,0,886.55811
MARRIED - SPOUSE PRESENT,2,1053,224,87,1051,87,1,1146,95,0,0,0,1995,95000032,26,2,829,69,0,0,1,0,1,926.00751
MARRIED - SPOUSE PRESENT,6,665,225,55,676,56,1,1146,95,0,0,0,1995,95000040,58,2,440,36,0,0,1,0,1,972.61292
DIVORCED,3,789,189,65,794,66,1,951,79,1,1,0,1995,95000040,45,2,600,49,0,0,1,0,1,883.2594
MARRIED - SPOUSE PRESENT,6,594,181,49,602,50,0,671,55,1,1,0,1995,95000040,61,2,413,34,0,0,1,0,1,814.82233
MARRIED - SPOUSE PRESENT,2,886,244,73,937,78,0,1146,95,0,0,0,1995,95000040,42,2,642,53,0,0,1,1,0,883.15802
MARRIED - SPOUSE PRESENT,2,729,197,60,748,62,0,1146,95,0,0,0,1995,95000040,51,2,532,44,0,0,1,0,1,826.74878
MARRIED - SPOUSE ABSENT,2,918,239,76,944,78,0,1146,95,0,0,0,1995,95000040,38,2,679,56,0,0,1,0,1,728.5639
MARRIED - SPOUSE PRESENT,2,846,170,70,918,76,0,858,71,1,1,0,1995,95000040,39,2,676,56,0,0,1,0,1,728.5639
MARRIED - SPOUSE PRESENT,2,1066,259,88,1099,91,0,1146,95,0,0,0,1995,95000048,28,2,807,67,0,0,1,1,0,816.20551
MARRIED - SPOUSE PRESENT,1,1103,256,91,1138,94,1,1146,95,0,0,0,1995,95000048,24,2,847,70,0,0,1,0,1,990.23322
MARRIED - SPOUSE PRESENT,2,1026,240,85,984,81,0,1057,88,1,1,0,1995,95000048,30,2,786,65,0,0,1,0,0,805.61792
DIVORCED,1,727,282,60,754,62,1,975,81,1,1,0,1995,95000048,58,2,445,37,0,0,1,0,1,750.07452
DIVORCED,2,597,231,49,628,52,0,853,71,1,1,0,1995,95000048,65,2,366,30,0,0,1,0,1,886.78992
DIVORCED,2,795,199,66,814,67,0,958,79,1,1,0,1995,95000048,45,2,596,49,0,0,1,0,1,833.96667
DIVORCED,3,865,188,72,917,76,0,1004,83,1,1,0,1995,95000048,39,2,677,56,0,0,1,0,0,843.15338
MARRIED - SPOUSE PRESENT,2,907,268,75,831,69,0,1044,86,1,1,0,1995,95000048,42,2,639,53,0,0,1,0,1,816.8186
WIDOWED,3,788,377,65,811,67,0,1143,95,0,0,1,1995,95000048,61,2,411,34,0,0,1,1,0,822.88318
MARRIED - SPOUSE PRESENT,None,972,390,80,,,,1146,95,0,0,0,1995,95000056,46,2,582,48,0,0,1,0,1,833.96667
MARRIED - SPOUSE PRESENT,8,601,216,50,603,50,1,705,58,1,1,0,1995,95000056,63,2,385,32,0,0,1,0,0,739.29858
MARRIED - SPOUSE PRESENT,8,733,282,61,760,63,1,884,73,1,1,0,1995,95000056,57,2,451,37,0,0,1,0,1,829.50537
MARRIED - SPOUSE PRESENT,2,956,305,79,1015,84,1,1146,95,0,0,0,1995,95000056,41,2,651,54,0,0,1,1,0,821.44452
MARRIED - SPOUSE PRESENT,1,1145,324,95,1043,86,1,1146,95,0,0,0,1995,95000056,27,2,821,68,0,0,1,0,1,936.84613
DIVORCED,1,741,282,61,752,62,0,906,75,1,1,0,1995,95000056,57,2,459,38,0,0,1,1,0,800.79639
WIDOWED,3,704,341,58,710,59,1,723,60,0,0,1,1995,95000056,65,2,363,30,0,0,1,1,0,778.9729
DIVORCED,1,822,250,68,843,70,1,853,71,1,1,0,1995,95000064,47,2,572,47,0,0,1,1,0,793.13458
MARRIED - SPOUSE PRESENT,2,777,225,64,785,65,1,1146,95,0,0,0,1995,95000064,49,2,552,45,0,0,1,0,1,793.13458
DIVORCED,1,1010,233,84,1075,89,0,1138,94,1,1,0,1995,95000064,30,2,777,64,0,0,1,0,1,804.06281
MARRIED - SPOUSE PRESENT,None,634,279,52,,,,1146,95,0,0,0,1995,95000064,65,2,355,29,0,0,1,1,0,831.29041
MARRIED - SPOUSE PRESENT,2,994,252,82,1022,85,1,1146,95,0,0,0,1995,95000064,33,2,742,61,0,0,1,0,1,793.198
DIVORCED,None,1014,290,84,,,,1014,84,1,1,0,1995,95000064,35,2,724,60,0,0,1,0,1,810.22028
DIVORCED,2,852,259,70,883,73,0,1111,92,1,1,0,1995,95000064,46,2,593,49,0,0,1,0,1,848.9646
MARRIED - SPOUSE PRESENT,2,1040,214,86,1019,84,1,1146,95,0,0,0,1995,95000064,26,2,826,68,0,0,1,0,0,797.573
MARRIED - SPOUSE PRESENT,None,946,313,78,,,,1146,95,0,0,0,1995,95000064,42,2,633,52,0,0,1,0,1,725.29132
MARRIED - SPOUSE PRESENT,1,1062,213,88,1095,91,0,1138,94,1,1,0,1995,95000072,24,2,849,70,0,0,1,0,1,990.23322
MARRIED - SPOUSE PRESENT,2,765,268,63,775,64,1,1146,95,0,0,0,1995,95000072,54,2,497,41,0,0,1,0,1,853.7785
DIVORCED,2,824,229,68,828,68,0,1021,85,1,1,0,1995,95000072,45,2,595,49,0,0,1,0,1,774.48969
MARRIED - SPOUSE PRESENT,2,1018,250,84,1038,86,0,1146,95,0,0,0,1995,95000072,31,2,768,63,0,0,1,0,1,836.75232
DIVORCED,3,861,211,71,867,72,1,872,72,1,1,0,1995,95000072,41,2,650,54,0,0,1,0,1,804.32361
SEPARATED,4,869,249,72,929,77,1,1146,95,0,1,0,1995,95000072,43,2,620,51,0,0,1,1,0,804.32361
MARRIED - SPOUSE PRESENT,2,859,284,71,886,73,0,1146,95,0,0,0,1995,95000072,47,2,575,47,0,0,1,1,0,860.90588
MARRIED - SPOUSE PRESENT,2,874,352,72,910,75,0,1146,95,0,0,0,1995,95000080,52,2,522,43,0,0,1,1,0,804.55463
MARRIED - SPOUSE PRESENT,2,1062,259,88,1091,90,1,1146,95,0,0,0,1995,95000080,28,2,803,66,0,0,1,1,0,936.84613
MARRIED - SPOUSE PRESENT,4,584,193,48,604,50,0,1146,95,0,0,0,1995,95000080,62,2,391,32,0,0,1,0,1,765.07159
MARRIED - SPOUSE PRESENT,3,893,196,74,904,75,0,1146,95,0,0,0,1995,95000080,37,2,697,58,0,0,1,0,0,772.31488
MARRIED - SPOUSE PRESENT,None,1146,282,95,,,,1146,95,0,0,0,1995,95000080,23,2,864,71,0,0,1,0,1,890.35028
DIVORCED,6,773,250,64,804,66,0,878,73,1,1,0,1995,95000080,51,2,523,43,0,0,1,0,1,850.11841
MARRIED - SPOUSE PRESENT,1,918,280,76,944,78,1,1146,95,0,0,0,1995,95000080,42,2,638,53,0,0,1,0,1,795.83002
MARRIED - SPOUSE PRESENT,2,935,266,77,949,79,0,1146,95,0,0,0,1995,95000080,39,2,669,55,0,0,1,0,1,808.125
DIVORCED,2,954,285,79,971,80,0,954,79,1,1,0,1995,95000080,39,2,669,55,0,0,1,0,1,808.125
MARRIED - SPOUSE PRESENT,1,1016,265,84,1040,86,1,1050,87,1,1,0,1995,95000088,32,2,751,62,0,0,1,0,1,804.06281
MARRIED - SPOUSE PRESENT,2,1146,455,95,996,82,0,1146,95,0,0,0,1995,95000088,37,2,691,57,0,0,1,0,1,808.125
MARRIED - SPOUSE PRESENT,2,870,437,72,921,76,0,1146,95,0,0,0,1995,95000088,59,2,433,36,0,0,1,1,0,936.42328
MARRIED - SPOUSE PRESENT,1,1138,232,94,1130,94,1,1146,95,0,0,0,1995,95000088,20,2,906,75,0,0,1,0,1,886.55811
MARRIED - SPOUSE PRESENT,None,1146,439,95,,,,1146,95,0,0,0,1995,95000088,36,2,707,58,0,0,1,0,1,808.125
DIVORCED,1,951,225,79,957,79,1,1037,86,1,1,0,1995,95000088,35,2,726,60,0,0,1,0,1,808.125
MARRIED - SPOUSE PRESENT,2,895,222,74,901,75,0,1146,95,0,0,0,1995,95000088,39,2,673,56,0,0,1,0,1,808.125
MARRIED - SPOUSE PRESENT,1,1027,248,85,1070,89,0,1146,95,0,0,0,1995,95000096,30,2,779,64,0,0,1,0,0,804.06281
MARRIED - SPOUSE PRESENT,3,785,218,65,789,65,1,941,78,1,1,0,1995,95000096,48,2,567,47,0,0,1,0,1,793.13458
MARRIED - SPOUSE PRESENT,2,688,212,57,696,57,1,745,62,1,1,0,1995,95000096,55,2,476,39,0,0,1,0,0,936.42328
DIVORCED,6,682,216,56,708,58,1,798,66,1,1,0,1995,95000096,56,2,466,38,0,0,1,0,0,972.61292
DIVORCED,None,1030,240,85,,,,1033,86,1,1,0,1995,95000096,29,2,790,65,0,0,1,0,1,904.1073
MARRIED - SPOUSE PRESENT,1,922,274,76,968,80,1,1146,95,0,0,0,1995,95000096,41,2,648,53,0,0,1,1,0,888.87762
MARRIED - SPOUSE PRESENT,2,1087,461,90,1099,91,0,1146,95,0,0,0,1995,95000096,43,2,626,52,0,0,1,1,0,832.84399
DIVORCED,None,952,307,79,,,,1006,83,1,1,0,1995,95000096,41,2,645,53,0,0,1,1,0,821.44452
WIDOWED,1,798,293,66,925,77,1,1114,92,0,0,1,1995,95000096,53,2,505,42,0,0,1,1,0,774.61823
MARRIED - SPOUSE PRESENT,3,846,239,70,860,71,0,918,76,1,1,0,1995,95000104,44,2,607,50,0,0,1,1,0,821.44452
SEPARATED,1,1137,290,94,1096,91,1,1146,95,0,1,0,1995,95000104,24,2,847,70,0,0,1,0,1,1019.3184
MARRIED - SPOUSE PRESENT,1,1024,284,85,1116,92,1,1146,95,0,0,0,1995,95000104,33,2,740,61,0,0,1,1,0,793.198
MARRIED - SPOUSE PRESENT,None,1141,260,95,,,,1146,95,0,0,0,1995,95000104,22,2,881,73,0,0,1,0,1,1019.3184
MARRIED - SPOUSE PRESENT,2,823,259,68,893,74,0,1146,95,0,0,0,1995,95000104,48,2,564,46,0,0,1,1,0,848.9646
MARRIED - SPOUSE PRESENT,2,976,239,81,965,80,1,1024,85,1,1,0,1995,95000104,34,2,737,61,0,1,1,0,1,365.41721
MARRIED - SPOUSE PRESENT,2,946,235,78,970,80,0,1077,89,1,1,0,1995,95000104,36,2,711,59,0,0,1,0,1,756.72052
MARRIED - SPOUSE PRESENT,6,600,231,49,623,51,1,1146,95,0,0,0,1995,95000112,64,2,369,30,0,0,1,0,1,868.02887
MARRIED - SPOUSE PRESENT,2,819,224,68,871,72,0,1146,95,0,0,0,1995,95000112,45,2,595,49,0,0,1,0,1,816.74481
MARRIED - SPOUSE PRESENT,3,878,208,73,891,74,1,928,77,1,1,0,1995,95000112,39,2,670,55,0,0,1,0,0,839.56012
MARRIED - SPOUSE PRESENT,None,1014,371,84,,,,1146,95,0,0,0,1995,95000112,41,2,643,53,0,0,1,1,0,821.44452
DIVORCED,None,942,314,78,,,,998,83,1,1,0,1995,95000112,43,2,628,52,0,0,1,0,0,821.44452
MARRIED - SPOUSE PRESENT,3,961,263,80,1027,85,0,995,82,1,1,0,1995,95000112,37,2,698,58,0,0,1,1,0,772.31488
MARRIED - SPOUSE PRESENT,1,906,219,75,967,80,0,986,82,1,1,0,1995,95000112,38,2,687,57,0,0,1,0,1,772.31488
MARRIED - SPOUSE PRESENT,3,854,227,71,965,80,1,881,73,1,1,0,1995,95000112,43,2,627,52,0,0,1,0,1,766.2182
MARRIED - SPOUSE PRESENT,2,1005,228,83,1024,85,0,1146,95,0,0,0,1995,95000112,30,2,777,64,0,0,1,0,1,804.06281
MARRIED - SPOUSE PRESENT,4,767,230,63,785,65,0,1146,95,0,0,0,1995,95000120,50,2,537,44,0,0,1,0,0,817.35358
MARRIED - SPOUSE PRESENT,3,901,254,75,961,80,0,1146,95,0,0,0,1995,95000120,41,2,647,53,0,0,1,0,0,883.15802
MARRIED - SPOUSE PRESENT,3,630,198,52,630,52,0,630,52,1,1,0,1995,95000120,59,2,432,35,0,0,1,0,1,787.15808
MARRIED - SPOUSE PRESENT,2,751,213,62,763,63,1,837,69,1,1,0,1995,95000120,50,2,538,44,0,0,1,0,1,729.86438
MARRIED - SPOUSE PRESENT,2,767,270,63,777,64,1,905,75,1,1,0,1995,95000120,54,2,497,41,0,0,1,0,1,0
MARRIED - SPOUSE PRESENT,3,773,218,64,777,64,0,888,73,1,1,0,1995,95000120,49,2,555,46,0,0,1,0,1,774.48969
DIVORCED,None,873,240,72,,,,905,75,1,1,0,1995,95000120,42,2,633,52,0,0,1,0,1,774.39581
MARRIED - SPOUSE PRESENT,2,892,246,74,966,80,1,1146,95,0,0,0,1995,95000128,41,2,646,53,0,0,1,1,0,774.39581
DIVORCED,2,708,197,58,728,60,0,898,74,1,1,0,1995,95000128,52,2,511,42,0,0,1,0,0,853.7785
MARRIED - SPOUSE PRESENT,None,1132,322,94,,,,1146,95,0,0,0,1995,95000128,28,2,810,67,0,0,1,0,1,755.13611
MARRIED - SPOUSE PRESENT,1,775,272,64,865,72,1,1146,95,0,0,0,1995,95000128,53,2,503,41,0,0,1,1,0,2234.6201
MARRIED - SPOUSE PRESENT,None,882,280,73,,,,918,76,1,1,0,1995,95000128,45,2,602,50,0,0,1,1,0,1990.9438
MARRIED - SPOUSE PRESENT,2,867,238,72,879,73,0,1146,95,0,0,0,1995,95000128,43,2,629,52,0,0,1,0,1,1877.4489
MARRIED - SPOUSE PRESENT,3,858,273,71,880,73,0,1146,95,0,0,0,1995,95000128,46,2,585,48,0,0,1,0,1,1916.8635
SEPARATED,1,1139,246,94,1132,94,1,1146,95,0,1,0,1995,95000128,21,2,893,74,0,0,1,0,0,2292.9026
MARRIED - SPOUSE PRESENT,None,914,227,76,,,,1146,95,0,0,0,1995,95000128,38,2,687,57,0,0,1,1,0,1937.9791
MARRIED - SPOUSE PRESENT,1,1137,251,94,1122,93,0,1146,95,0,0,0,1995,95000136,21,2,886,73,0,0,1,0,1,2292.9026
MARRIED - SPOUSE PRESENT,1,846,324,70,854,71,0,1146,95,0,0,0,1995,95000136,51,2,522,43,0,0,1,1,0,850.11841
MARRIED - SPOUSE PRESENT,None,870,232,72,,,,1146,95,0,0,0,1995,95000136,42,2,638,53,0,0,1,0,1,795.83002
MARRIED - SPOUSE PRESENT,3,755,243,62,769,64,0,1146,95,0,0,0,1995,95000136,52,2,512,42,0,0,1,0,1,850.11841
MARRIED - SPOUSE PRESENT,1,919,237,76,924,76,0,931,77,1,1,0,1995,95000136,38,2,682,56,0,0,1,0,1,808.125
DIVORCED,5,706,209,58,716,59,1,1079,89,1,1,0,1995,95000136,54,2,497,41,0,0,1,0,0,817.35358
MARRIED - SPOUSE PRESENT,6,702,219,58,712,59,1,726,60,1,1,0,1995,95000136,55,2,483,40,0,0,1,0,0,723.53442
SEPARATED,3,986,239,82,994,82,1,1146,95,0,1,0,1995,95000144,33,2,747,62,0,0,1,0,1,793.198
DIVORCED,6,662,219,55,672,55,1,783,65,1,1,0,1995,95000144,58,2,443,36,0,0,1,0,1,723.53442
MARRIED - SPOUSE PRESENT,3,1065,272,88,1071,89,1,1146,95,0,0,0,1995,95000144,29,2,793,66,0,0,1,0,1,809.81781
DIVORCED,2,727,272,60,721,60,0,942,78,1,1,0,1995,95000144,57,2,455,37,0,0,1,0,1,817.5791
MARRIED - SPOUSE PRESENT,2,822,234,68,837,69,1,1146,95,0,0,0,1995,95000144,46,2,588,48,0,0,1,0,1,753.07721
MARRIED - SPOUSE PRESENT,2,849,229,70,863,71,0,1146,95,0,0,0,1995,95000144,43,2,620,51,0,0,1,0,1,698.3042
MARRIED - SPOUSE PRESENT,None,1124,283,93,,,,1146,95,0,0,0,1995,95000144,25,2,841,70,0,0,1,1,0,753.99957
MARRIED - SPOUSE PRESENT,3,896,249,74,894,74,0,1146,95,0,0,0,1995,95000144,41,2,647,53,0,0,1,0,1,851.48608
WIDOWED,6,595,234,49,600,49,1,1006,83,0,0,1,1995,95000144,65,2,361,30,0,0,1,0,1,771.80212
MARRIED - SPOUSE PRESENT,3,1111,363,92,983,81,0,1146,95,0,0,0,1995,95000152,33,2,748,62,0,0,1,0,1,812.31543
MARRIED - SPOUSE PRESENT,5,810,229,67,811,67,0,994,82,0,0,1,1995,95000152,47,2,581,48,0,0,1,0,0,902.9599
MARRIED - SPOUSE PRESENT,2,912,217,75,926,77,0,952,79,0,0,1,1995,95000152,37,2,695,57,0,0,1,0,1,912.90662
MARRIED - SPOUSE PRESENT,2,1051,252,87,1062,88,1,1146,95,0,0,0,1995,95000152,28,2,799,66,0,0,1,0,0,1041.1942
MARRIED - SPOUSE PRESENT,5,656,232,54,664,55,0,1146,95,0,0,0,1995,95000152,60,2,424,35,0,0,1,0,1,814.00598
MARRIED - SPOUSE PRESENT,1,704,256,58,722,60,1,1146,95,0,0,0,1995,95000152,58,2,448,37,0,0,1,1,0,829.50537
DIVORCED,3,978,217,81,986,82,1,1082,90,1,1,0,1995,95000152,32,2,761,63,0,0,1,0,1,775.88318
WIDOWED,4,582,211,48,600,49,0,959,79,0,0,1,1995,95000160,64,2,371,30,0,0,1,1,0,802.97119
MARRIED - SPOUSE PRESENT,2,1040,274,86,1074,89,1,1146,95,0,0,0,1995,95000160,31,2,766,63,0,0,1,1,0,804.06281
MARRIED - SPOUSE PRESENT,3,1050,218,87,1056,87,0,1146,95,0,0,0,1995,95000160,26,2,832,69,0,0,1,0,1,891.552
MARRIED - SPOUSE PRESENT,4,677,215,56,679,56,1,1146,95,0,0,0,1995,95000160,57,2,462,38,0,0,1,0,0,723.53442
MARRIED - SPOUSE PRESENT,1,1011,233,84,1031,85,1,1146,95,0,0,0,1995,95000160,30,2,778,64,0,0,1,0,0,823.85248
MARRIED - SPOUSE PRESENT,None,1097,331,91,,,,1146,95,0,0,0,1995,95000160,31,2,766,63,0,0,1,0,1,823.85248
MARRIED - SPOUSE PRESENT,3,676,202,56,706,58,0,786,65,1,1,0,1995,95000160,55,2,474,39,0,0,1,0,1,751.49658
DIVORCED,4,779,245,64,788,65,0,861,71,1,1,0,1995,95000160,51,2,534,44,0,0,1,0,1,771.69281
MARRIED - SPOUSE PRESENT,2,956,216,79,965,80,0,1146,95,0,0,0,1995,95000160,33,2,740,61,0,0,1,0,1,790.65179
MARRIED - SPOUSE PRESENT,2,764,264,63,822,68,0,1146,95,0,0,0,1995,95000168,53,2,500,41,0,0,1,1,0,902.70837
SEPARATED,4,874,265,72,888,73,0,1146,95,0,1,0,1995,95000168,44,2,609,50,0,0,1,0,1,818.77643
MARRIED - SPOUSE PRESENT,None,834,228,69,,,,942,78,1,1,0,1995,95000168,45,2,606,50,0,0,1,1,0,818.87561
MARRIED - SPOUSE PRESENT,3,727,247,60,756,62,1,1146,95,0,0,0,1995,95000168,55,2,480,39,0,0,1,0,1,877.04419
MARRIED - SPOUSE PRESENT,3,822,206,68,847,70,0,969,80,1,1,0,1995,95000168,44,2,616,51,0,0,1,0,1,868.52142
MARRIED - SPOUSE PRESENT,3,852,242,70,850,70,1,959,79,1,1,0,1995,95000168,44,2,610,50,0,0,1,0,1,868.52142
MARRIED - SPOUSE PRESENT,3,568,197,47,576,47,0,1146,95,0,0,0,1995,95000168,64,2,371,30,0,0,1,0,0,813.49701
MARRIED - SPOUSE PRESENT,2,594,213,49,614,51,0,1146,95,0,0,0,1995,95000176,63,2,381,31,0,0,1,0,1,813.49701
MARRIED - SPOUSE PRESENT,4,750,217,62,758,63,0,930,77,1,1,0,1995,95000176,51,2,533,44,0,0,1,0,1,874.12958
MARRIED - SPOUSE PRESENT,3,797,208,66,805,67,0,1146,95,0,0,0,1995,95000176,46,2,589,49,0,0,1,0,1,897.61871
MARRIED - SPOUSE PRESENT,2,1020,367,84,1048,87,0,1146,95,0,0,0,1995,95000176,41,2,653,54,0,0,1,0,1,933.77161
MARRIED - SPOUSE PRESENT,4,861,288,71,888,73,0,1146,95,0,0,0,1995,95000176,47,2,573,47,0,0,1,0,1,897.61871
MARRIED - SPOUSE PRESENT,2,994,313,82,1052,87,0,1146,95,0,0,0,1995,95000176,38,2,681,56,0,0,1,1,0,846.36359
MARRIED - SPOUSE PRESENT,4,701,240,58,728,60,0,1146,95,0,0,0,1995,95000176,57,2,461,38,0,0,1,1,0,832.27002
MARRIED - SPOUSE PRESENT,1,1017,237,84,1093,91,1,1146,95,0,0,0,1995,95000176,30,2,780,64,0,0,1,0,1,948.79681
WIDOWED,4,748,218,62,765,63,1,943,78,0,0,1,1995,95000176,51,2,530,44,0,0,1,0,1,874.12958
MARRIED - SPOUSE PRESENT,2,922,238,76,1032,85,1,973,81,1,1,0,1995,95000184,38,2,684,56,0,0,1,0,1,770.31781
MARRIED - SPOUSE PRESENT,2,633,213,52,703,58,0,1146,95,0,0,0,1995,95000184,60,2,420,34,0,0,1,0,1,856.41699
MARRIED - SPOUSE PRESENT,4,973,349,81,1014,84,0,1146,95,0,0,0,1995,95000184,43,2,624,51,0,0,1,0,1,722.41589
MARRIED - SPOUSE PRESENT,None,985,480,82,,,,987,82,1,1,0,1995,95000184,53,2,505,42,0,0,1,0,1,755.0658
MARRIED - SPOUSE PRESENT,None,736,231,61,,,,1146,95,0,0,0,1995,95000184,53,2,505,42,0,0,1,0,1,755.0658
MARRIED - SPOUSE PRESENT,1,881,266,73,895,74,0,1146,95,0,0,0,1995,95000184,44,2,615,51,0,0,1,1,0,818.77643
MARRIED - SPOUSE PRESENT,1,911,294,75,929,77,0,1146,95,0,0,0,1995,95000184,44,2,617,51,0,0,1,0,1,818.77643
MARRIED - SPOUSE PRESENT,None,1096,366,91,,,,1146,95,0,0,0,1995,95000192,34,2,730,60,0,0,1,0,1,851.78772
MARRIED - SPOUSE PRESENT,2,909,246,75,1063,88,1,941,78,1,1,0,1995,95000192,40,2,663,55,0,0,1,0,1,801.13489
MARRIED - SPOUSE PRESENT,7,605,222,50,680,56,0,1146,95,0,0,0,1995,95000192,63,2,383,31,0,0,1,0,1,898.00098
MARRIED - SPOUSE PRESENT,4,707,214,58,715,59,0,1146,95,0,0,0,1995,95000192,54,2,493,41,0,0,1,0,1,883.25848
MARRIED - SPOUSE PRESENT,2,873,228,72,905,75,0,1146,95,0,0,0,1995,95000192,41,2,645,53,0,0,1,0,1,801.13489
MARRIED - SPOUSE PRESENT,None,985,325,82,,,,1146,95,0,0,0,1995,95000192,40,2,660,54,0,0,1,0,1,858.35522
DIVORCED,2,879,238,73,898,74,0,1023,85,1,1,0,1995,95000192,42,2,641,53,0,0,1,0,1,858.35522
MARRIED - SPOUSE PRESENT,2,925,245,77,973,81,0,1146,95,0,0,0,1995,95000192,38,2,680,56,0,0,1,0,1,868.54919
MARRIED - SPOUSE PRESENT,1,913,234,76,985,82,1,1146,95,0,0,0,1995,95000192,38,2,679,56,0,0,1,0,1,798.98212
MARRIED - SPOUSE PRESENT,3,940,246,78,946,78,0,952,79,1,1,0,1995,95000200,37,2,694,57,0,0,1,0,1,798.98212
