a_age,a_maritl,a_sex,a_fnlwgt,fmstm1900,fmagem,yofm,fbm1900,yofb,fb_girl,fmendm1900,yofd,fmdiv,fmdivsep,fmwid,pesa1,cpsyear,iid,bdm1900,yob,black,orace,cdiv,coll,hs
26,5,2,574518,991,227,82,1002,83,1,1042,86,1,1,0,2,1990,90019984,764,63,0,0,3,0,1
51,1,2,531244,811,342,67,853,71,1,1086,90,0,0,0,1,1990,90019984,469,39,0,0,3,0,1
31,1,2,494141,965,257,80,,,,1086,90,0,0,0,0,1990,90019984,708,58,0,0,3,1,0
25,1,2,534762,1086,305,90,,,,1086,90,0,0,0,0,1990,90019984,781,65,0,0,3,0,1
32,1,2,518292,1016,321,84,,,,1086,90,0,0,0,0,1990,90019992,695,57,0,0,3,1,0
53,5,2,529085,654,209,54,684,56,1,714,59,1,1,0,3,1990,90019992,445,37,0,0,3,0,1
65,1,2,450418,538,235,44,565,47,1,1086,90,0,0,0,4,1990,90019992,303,25,0,0,3,0,1
33,1,2,602005,1010,328,84,967,80,0,1086,90,0,0,0,3,1990,90019992,682,56,1,0,3,0,1
27,1,2,438666,1027,267,85,1083,90,1,1086,90,0,0,0,1,1990,90019992,760,63,0,0,3,1,0
23,1,2,550053,1028,230,85,,,,1054,87,1,1,0,0,1990,90019992,798,66,0,0,3,0,1
33,1,2,569631,1077,393,89,,,,1086,90,0,0,0,0,1990,90019992,684,56,1,0,3,1,0
45,1,2,458893,772,238,64,784,65,0,1086,90,0,0,0,4,1990,90020000,534,44,0,0,3,0,1
48,1,2,441986,753,246,62,779,64,0,1086,90,0,0,0,2,1990,90020000,507,42,0,0,3,0,1
24,1,2,475908,1053,258,87,,,,1086,90,0,0,0,0,1990,90020000,795,66,0,0,3,0,1
42,5,2,478501,792,221,65,809,67,0,873,72,1,1,0,4,1990,90020000,571,47,0,0,3,0,1
35,1,2,508853,967,302,80,991,82,0,1086,90,0,0,0,2,1990,90020000,665,55,0,0,3,1,0
51,1,2,217587,777,309,64,792,65,0,1086,90,0,0,0,2,1990,90020000,468,38,0,0,3,0,1
30,1,2,186457,1025,299,85,1059,88,0,1086,90,0,0,0,1,1990,90020000,726,60,0,0,3,1,0
50,1,2,272507,708,227,58,728,60,0,757,63,1,1,0,5,1990,90020000,481,40,0,0,3,1,0
33,5,2,229595,928,241,77,959,79,1,1082,90,1,1,0,2,1990,90020000,687,57,0,0,3,0,1
41,5,2,249881,826,234,68,862,71,0,956,79,1,1,0,1,1990,90020008,592,49,0,0,3,0,1
29,1,2,201191,1040,310,86,1078,89,0,1086,90,0,0,0,1,1990,90020008,730,60,0,0,3,1,0
29,1,2,201191,991,258,82,,,,1086,90,0,0,0,0,1990,90020008,733,61,0,0,3,0,1
47,1,2,233768,796,282,66,811,67,0,1086,90,0,0,0,2,1990,90020008,514,42,0,0,3,0,1
58,5,2,374484,618,237,51,709,59,1,641,53,1,1,0,2,1990,90020008,381,31,0,0,3,0,1
45,1,2,233768,753,213,62,767,63,0,1086,90,0,0,0,2,1990,90020008,540,44,0,0,3,0,1
50,4,2,351974,843,357,70,,,,1034,86,0,0,1,0,1990,90020008,486,40,0,0,3,0,1
30,1,2,186457,984,268,81,982,81,1,1086,90,0,0,0,2,1990,90020016,716,59,0,0,3,0,1
51,1,2,315181,695,227,57,705,58,0,1086,90,0,0,0,2,1990,90020016,468,38,0,0,3,0,1
28,1,2,266116,1031,286,85,,,,1086,90,0,0,0,0,1990,90020016,745,62,0,0,3,0,1
34,6,2,186457,890,218,74,901,75,0,1086,90,0,1,0,2,1990,90020016,672,55,0,0,3,0,0
45,1,2,346925,830,295,69,858,71,1,1086,90,0,0,0,1,1990,90020016,535,44,0,0,3,0,1
36,5,2,257181,874,225,72,895,74,1,903,75,1,1,0,1,1990,90020016,649,54,0,0,3,0,1
42,1,2,194834,866,289,72,935,77,1,1086,90,0,0,0,1,1990,90020016,577,48,0,0,3,0,1
43,1,2,285312,836,267,69,,,,885,73,1,1,0,0,1990,90020016,569,47,0,0,3,1,0
39,1,2,257952,794,177,66,801,66,1,1086,90,0,0,0,3,1990,90020016,617,51,0,0,3,0,0
33,1,2,229595,1004,321,83,,,,1086,90,0,0,0,0,1990,90020024,683,56,0,0,3,1,0
39,5,2,205299,823,207,68,873,72,1,837,69,1,1,0,2,1990,90020024,616,51,0,0,3,0,1
42,1,2,241394,1024,451,85,,,,1086,90,0,0,0,0,1990,90020024,573,47,0,0,3,1,0
55,1,2,318536,644,224,53,,,,1086,90,0,0,0,0,1990,90020024,420,34,0,0,3,0,1
55,1,2,245303,647,227,53,658,54,1,1086,90,0,0,0,2,1990,90020024,420,34,0,0,3,0,1
17,1,2,256816,1081,205,90,,,,1086,90,0,0,0,0,1990,90020024,876,72,0,0,3,0,0
44,5,2,750286,795,248,66,813,67,0,827,68,1,1,0,1,1990,90020024,547,45,0,0,3,0,1
40,1,2,406987,846,252,70,852,70,1,1086,90,0,0,0,2,1990,90020032,594,49,0,0,3,1,0
29,1,2,543119,1053,317,87,1080,89,0,1086,90,0,0,0,1,1990,90020032,736,61,0,0,3,1,0
28,1,2,552559,1002,253,83,,,,1086,90,0,0,0,0,1990,90020032,749,62,0,0,3,0,1
47,6,2,537593,712,200,59,721,60,1,769,64,1,1,0,5,1990,90020032,512,42,1,0,3,0,0
28,5,2,552559,971,229,80,972,80,1,1052,87,1,1,0,3,1990,90020032,742,61,0,0,3,0,1
35,1,2,428848,893,236,74,935,77,0,1086,90,0,0,0,3,1990,90020032,657,54,0,0,3,0,1
36,1,2,433115,857,210,71,853,71,0,934,77,1,1,0,2,1990,90020032,647,53,0,0,3,0,1
28,1,2,552559,916,173,76,985,82,1,956,79,1,1,0,1,1990,90020032,743,61,0,0,3,0,1
42,1,2,406987,800,220,66,825,68,0,1086,90,0,0,0,3,1990,90020032,580,48,0,0,3,0,1
36,5,2,531135,868,221,72,969,80,1,931,77,1,1,0,1,1990,90020040,647,53,0,0,3,0,1
24,1,2,493711,1032,246,85,1065,88,1,1086,90,0,0,0,2,1990,90020040,786,65,0,0,3,0,1
26,1,2,500968,1014,245,84,1041,86,1,1086,90,0,0,0,1,1990,90020040,769,64,0,0,3,0,1
40,5,2,183024,825,221,68,838,69,0,855,71,1,1,0,2,1990,90020040,604,50,1,0,3,0,1
62,1,2,246549,895,557,74,796,66,0,1086,90,0,0,0,3,1990,90020040,338,28,0,0,3,0,1
45,1,2,279044,763,223,63,786,65,0,1086,90,0,0,0,1,1990,90020040,540,44,1,0,3,0,0
65,1,2,205578,514,219,42,600,49,1,564,46,1,1,0,4,1990,90020040,295,24,0,0,3,0,1
33,1,2,324519,983,304,81,1031,85,1,1086,90,0,0,0,2,1990,90020048,679,56,0,0,3,1,0
52,1,2,256188,761,307,63,770,64,1,1086,90,0,0,0,4,1990,90020048,454,37,0,0,3,0,1
31,1,2,262211,958,246,79,968,80,1,994,82,1,1,0,2,1990,90020048,712,59,0,0,3,0,1
50,5,2,228995,685,203,57,713,59,0,871,72,1,1,0,4,1990,90020048,482,40,0,0,3,0,1
23,1,2,254807,1076,267,89,1083,90,0,1086,90,0,0,0,1,1990,90020048,809,67,0,0,3,0,1
33,5,2,214780,977,292,81,990,82,1,1063,88,1,1,0,1,1990,90020048,685,57,0,0,3,0,1
25,1,2,270276,969,187,80,1073,89,0,1033,86,1,1,0,1,1990,90020048,782,65,0,0,3,0,0
55,5,2,256044,630,209,52,633,52,1,842,70,1,1,0,2,1990,90020048,421,35,0,0,3,0,0
35,1,2,246392,875,216,72,895,74,0,1086,90,0,0,0,4,1990,90020048,659,54,0,0,3,0,1
23,1,2,274854,1038,240,86,1046,87,0,1086,90,0,0,0,1,1990,90020056,798,66,0,0,3,0,1
37,1,2,301037,948,311,78,844,70,0,1086,90,0,0,0,3,1990,90020056,637,53,0,0,3,0,1
55,5,2,216819,686,261,57,750,62,0,965,80,1,1,0,3,1990,90020056,425,35,0,0,3,0,1
59,1,2,216188,674,301,56,684,56,0,1086,90,0,0,0,4,1990,90020056,373,31,0,0,3,0,0
50,1,2,254319,752,274,62,761,63,0,1086,90,0,0,0,5,1990,90020056,478,39,0,0,3,0,1
55,1,2,241173,608,186,50,624,51,1,1086,90,0,0,0,3,1990,90020056,422,35,0,0,3,0,0
24,1,2,237805,1004,211,83,1033,86,1,1052,87,1,1,0,1,1990,90020056,793,66,0,0,3,0,1
25,1,2,287079,1022,247,85,1026,85,1,1086,90,0,0,0,2,1990,90020064,775,64,0,0,3,0,1
65,5,2,353460,531,226,44,540,44,0,749,62,1,1,0,2,1990,90020064,305,25,0,0,3,0,1
36,1,2,301037,863,220,71,870,72,0,914,76,1,1,0,3,1990,90020064,643,53,0,0,3,0,1
48,1,2,262775,751,250,62,756,62,0,1086,90,0,0,0,2,1990,90020064,501,41,0,0,3,0,1
35,5,2,354927,969,311,80,1005,83,0,1071,89,1,1,0,2,1990,90020064,658,54,1,0,3,0,1
37,5,2,288408,853,221,71,871,72,1,1024,85,1,1,0,2,1990,90020064,632,52,0,0,3,0,1
