cdiv,a_age,a_sex,e29a,pesb1,pesa1,fmstm1900,fmagem,yofm,fbm1900,yofb,fb_girl,fmendm1900,yofd,fmdiv,fmdivsep,fmwid,cpsyear,iid,bdm1900,yob,black,orace,coll,hs,a_fnlwgt
9,45,2,4,1,2,720,243,59,712,59,1,1026,85,0,1,0,1985,85000000,477,39,0,0,0,1,171104
9,37,2,1,1,1,864,291,71,933,77,,1026,85,0,0,0,1985,85000000,573,47,0,0,0,1,170074
9,38,2,1,1,4,834,275,69,816,67,0,1026,85,0,0,0,1985,85000000,558,46,0,0,1,0,170074
9,76,2,4,2,3,414,311,34,423,35,0,689,57,0,0,1,1985,85000000,102,8,0,0,0,1,158343
9,24,2,4,1,1,952,225,79,1018,84,1,1026,85,0,1,0,1985,85000008,727,60,0,0,0,1,156322
9,22,2,1,1,1,1019,261,84,1010,84,0,1026,85,0,0,0,1985,85000008,758,63,0,0,0,1,161301
9,27,2,1,2,1,949,252,79,968,80,0,978,81,1,1,0,1985,85000008,697,58,0,0,0,1,176094
9,21,2,1,1,2,981,218,81,991,82,0,1026,85,0,0,0,1985,85000008,762,63,0,1,0,1,167307
9,24,2,1,1,1,954,216,79,989,82,1,1026,85,0,0,0,1985,85000008,738,61,0,0,0,1,249132
9,25,2,1,1,0,963,240,80,,,,1026,85,0,0,0,1985,85000008,723,60,0,0,0,1,333484
9,53,2,1,2,3,682,292,56,695,57,0,751,62,0,0,1,1985,85000008,390,32,0,0,0,1,244181
9,37,2,1,2,2,789,208,65,797,66,1,957,79,1,1,0,1985,85000016,581,48,0,0,0,1,255830
9,47,2,1,1,4,672,215,55,691,57,,1026,85,0,0,0,1985,85000016,457,38,0,0,0,1,257286
9,34,2,1,1,5,801,192,66,810,67,0,1026,85,0,0,0,1985,85000016,609,50,0,0,0,0,285622
9,75,2,2,1,3,769,649,64,352,29,0,993,82,0,0,1,1985,85000016,120,9,0,0,0,0,251736
9,21,2,1,1,0,1023,259,85,,,,1026,85,0,0,0,1985,85000016,764,63,0,0,0,1,270573
9,59,2,2,1,10,544,232,45,567,47,1,973,81,0,0,1,1985,85000016,312,25,0,0,0,0,296990
9,23,2,4,1,1,1000,261,83,998,83,1,1026,85,0,1,0,1985,85000016,739,61,0,0,0,0,339028
9,61,2,1,1,3,513,229,42,519,43,,1026,85,0,0,0,1985,85000016,284,23,0,0,0,1,244640
9,27,2,1,2,0,982,287,81,,,,999,83,1,1,0,1985,85000016,695,57,0,0,0,1,266937
9,44,2,1,1,1,736,249,61,880,73,,1026,85,0,0,0,1985,85000024,487,40,0,0,0,1,251244
9,56,2,1,1,2,535,182,44,583,48,0,1026,85,0,0,0,1985,85000024,353,29,0,0,0,0,237534
9,45,2,1,1,3,834,357,69,854,71,0,1026,85,0,0,0,1985,85000024,477,39,0,0,0,0,265450
9,49,2,1,1,5,655,224,54,702,58,0,1026,85,0,0,0,1985,85000024,431,35,0,0,0,1,265450
9,23,2,1,1,2,978,238,81,977,81,1,1026,85,0,0,0,1985,85000024,740,61,0,0,0,1,279115
9,28,2,1,1,2,981,302,81,991,82,0,1026,85,0,0,0,1985,85000024,679,56,0,0,0,1,340615
9,53,2,1,1,3,606,217,50,614,51,0,1026,85,0,0,0,1985,85000024,389,32,0,0,0,0,247414
9,33,2,1,2,0,881,261,73,,,,979,81,1,1,0,1985,85000032,620,51,0,0,1,0,259473
9,35,2,1,1,1,869,269,72,1019,84,1,1026,85,0,0,0,1985,85000032,600,49,0,1,1,0,204246
9,45,2,1,1,3,715,236,59,728,60,1,1026,85,0,0,0,1985,85000032,479,39,0,0,0,1,266688
9,34,2,1,1,2,805,198,67,836,69,0,1026,85,0,0,0,1985,85000032,606,50,0,0,0,1,274318
9,39,2,1,1,2,767,218,63,896,74,1,1026,85,0,0,0,1985,85000032,549,45,0,0,0,1,265048
9,49,2,1,1,3,699,263,58,732,60,0,1026,85,0,0,0,1985,85000032,436,36,0,0,1,0,282599
9,54,2,1,1,2,654,282,54,685,57,0,1026,85,0,0,0,1985,85000032,372,30,0,0,1,0,245037
9,47,2,1,1,3,722,263,60,735,61,,1026,85,0,0,0,1985,85000032,459,38,0,0,0,1,282599
9,22,2,1,1,0,981,230,81,,,,1026,85,0,0,0,1985,85000032,750,62,0,0,0,1,288004
9,28,2,4,1,0,991,306,82,,,,1026,85,0,1,0,1985,85000040,685,57,0,0,1,0,256515
9,77,2,2,1,2,332,238,27,356,29,0,947,78,0,0,1,1985,85000040,94,7,0,0,0,1,250917
9,30,2,3,3,2,888,228,73,980,81,,901,75,1,1,0,1985,85000040,660,54,0,0,0,1,270633
9,53,2,1,1,1,769,390,64,800,66,0,1026,85,0,0,0,1985,85000040,378,31,0,0,0,1,260621
9,33,2,1,1,3,931,302,77,888,73,1,1026,85,0,0,0,1985,85000040,629,52,0,0,0,1,254182
9,78,2,1,1,0,476,394,39,,,,1026,85,0,0,0,1985,85000040,82,6,0,1,0,0,342743
9,89,2,2,1,7,190,241,15,212,17,1,841,70,0,0,1,1985,85000040,-51,-5,0,1,0,0,342743
9,29,2,1,1,1,948,277,78,978,81,1,1026,85,0,0,0,1985,85000048,671,55,0,0,0,1,243590
9,45,2,1,1,3,895,420,74,915,76,0,1026,85,0,0,0,1985,85000048,475,39,0,0,0,0,255618
9,26,2,3,1,0,993,284,82,,,,1020,84,1,1,0,1985,85000048,709,59,0,0,0,1,272626
9,35,2,1,1,2,931,332,77,950,79,0,1026,85,0,0,0,1985,85000048,599,49,0,0,0,1,265048
9,68,2,3,2,3,453,254,37,494,41,0,580,48,0,0,1,1985,85000048,198,16,0,0,0,1,282949
9,19,2,1,1,0,989,201,82,,,,1026,85,0,0,0,1985,85000048,788,65,0,0,0,1,278229
9,73,2,3,1,4,543,401,45,553,46,0,723,60,1,1,0,1985,85000048,142,11,0,0,0,1,254272
9,22,2,1,1,0,993,242,82,,,,1026,85,0,0,0,1985,85000048,751,62,0,0,0,1,283356
9,20,2,1,1,2,1012,228,84,997,83,1,1026,85,0,0,0,1985,85000048,784,65,0,0,0,1,269031
9,81,2,2,2,3,253,202,21,260,21,0,486,40,1,1,0,1985,85000056,51,4,0,0,0,0,257073
9,38,2,1,1,3,836,275,69,864,71,1,1026,85,0,0,0,1985,85000056,561,46,0,0,0,0,257777
9,51,2,1,2,3,654,247,54,666,55,0,696,57,1,1,0,1985,85000056,407,33,0,0,0,0,251049
9,62,2,2,2,3,478,203,39,567,47,0,522,43,1,1,0,1985,85000056,275,22,0,0,0,1,263001
9,42,2,1,1,2,763,241,63,771,64,0,1026,85,0,0,0,1985,85000056,522,43,0,0,0,1,252669
9,55,2,1,2,3,542,180,45,555,46,0,618,51,1,1,0,1985,85000056,362,30,0,0,0,0,245914
9,42,2,1,2,3,750,235,62,762,63,0,866,72,1,1,0,1985,85000056,515,42,0,0,0,1,252669
9,62,2,1,2,2,490,211,40,544,45,0,664,55,1,1,0,1985,85000064,279,23,0,0,0,0,266282
9,55,2,2,1,4,547,183,45,569,47,0,990,82,0,0,1,1985,85000064,364,30,0,0,1,0,245914
9,70,2,1,1,4,388,213,32,403,33,0,1026,85,0,0,0,1985,85000064,175,14,0,0,0,0,264695
9,29,2,3,1,2,914,247,76,918,76,0,928,77,1,1,0,1985,85000064,667,55,0,0,0,1,279315
9,60,2,4,1,6,520,222,43,532,44,1,1026,85,0,1,0,1985,85000064,298,24,0,0,0,1,265727
9,58,2,1,1,3,520,193,43,551,45,0,1026,85,0,0,0,1985,85000064,327,27,0,0,0,0,265165
9,64,2,1,2,2,477,220,39,485,40,1,523,43,1,1,0,1985,85000064,257,21,0,0,0,1,263001
9,57,2,3,2,2,571,234,47,600,49,0,586,48,1,1,0,1985,85000064,337,28,0,0,0,1,262970
9,31,2,1,1,0,1015,361,84,,,,1026,85,0,0,0,1985,85000064,654,54,0,0,1,0,277273
9,35,2,1,1,2,876,274,72,886,73,0,1026,85,0,0,0,1985,85000072,602,50,0,0,0,1,243734
9,37,2,1,1,3,896,322,74,813,67,1,1026,85,0,0,0,1985,85000072,574,47,0,0,0,1,243734
9,57,2,1,1,2,567,234,47,605,50,0,1026,85,0,0,0,1985,85000072,333,27,0,0,0,1,293447
9,59,2,2,1,2,947,637,78,628,52,1,956,79,0,0,1,1985,85000072,310,25,0,0,0,0,293498
9,60,2,1,1,3,512,213,42,518,43,0,1026,85,0,0,0,1985,85000072,299,24,0,0,0,1,241764
9,19,2,1,1,1,1019,228,84,1018,84,0,1026,85,0,0,0,1985,85000072,791,65,0,0,0,1,303335
9,58,2,1,2,3,521,199,43,593,49,0,582,48,1,1,0,1985,85000072,322,26,0,0,0,0,275395
9,40,2,1,1,3,924,387,76,766,63,0,1026,85,0,0,0,1985,85000080,537,44,0,0,0,1,271568
9,38,2,1,1,0,919,357,76,,,,1026,85,0,0,0,1985,85000080,562,46,0,0,0,1,250861
9,51,2,1,1,1,709,303,59,751,62,0,1026,85,0,0,0,1985,85000080,406,33,0,0,0,1,251009
9,20,2,1,1,1,1017,236,84,1014,84,1,1026,85,0,0,0,1985,85000080,781,65,0,0,0,1,293100
9,38,2,3,2,1,821,254,68,916,76,0,894,74,1,1,0,1985,85000080,567,47,0,0,0,1,229211
9,70,2,1,2,2,418,240,34,456,37,1,646,53,1,1,0,1985,85000080,178,14,0,0,0,1,232816
9,65,2,1,1,2,552,306,45,564,46,1,1026,85,0,0,0,1985,85000080,246,20,0,0,0,1,239252
