year,f180,f182,f183,f427,f432,p011,v124,v129,v151,b013,b014,b135,b114,age_m,age_w,edu_m,edu_w,gen_m,gen_w,mom,DGH012,PUB,DPUB,NSIB018H,NSIB018DH
2012,7,occasionally,occasionally,,good,8,neither agree nor disagree,neither agree nor disagree,fully disagree,12,0,,490,45,44,3,3,4,4,1,1,0,0,2,1
2013,6,occasionally,occasionally,slightly agree,good,8,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,,,,,46,45,3,3,4,4,1,1,0,0,2,1
2014,8,occasionally,occasionally,,good,8,neither agree nor disagree,disagree,agree,,,,,47,46,3,3,4,4,1,0,1,1,2,1
2015,7,occasionally,occasionally,,good,7,fully disagree,neither agree nor disagree,disagree,12,0,100,,49,47,3,3,4,4,1,0,1,1,2,1
2016,6,occasionally,occasionally,,good,5,neither agree nor disagree,disagree,neither agree nor disagree,,,,,50,48,3,3,4,4,1,0,1,1,2,1
2014,9,practically never,practically never,,good,8,,,,,,,,52,47,3,2,1,2,0,0,1,1,1,0
2014,9,practically never,practically never,,very good,8,,,,,,,,52,47,3,2,1,2,1,0,1,1,1,0
2015,entirely satisfied,practically never,practically never,,very good,9,disagree,disagree,neither agree nor disagree,4,,,,53,49,3,2,1,2,0,0,1,1,1,0
2015,entirely satisfied,practically never,practically never,,very good,8,disagree,neither agree nor disagree,fully disagree,24,,100,,53,49,3,2,1,2,1,0,1,1,1,0
2016,entirely satisfied,practically never,practically never,,good,9,disagree,neither agree nor disagree,neither agree nor disagree,,,,,54,50,3,2,1,2,0,0,1,1,1,0
2016,8,practically never,practically never,,very good,8,neither agree nor disagree,agree,disagree,,,,,54,50,3,2,1,2,1,0,1,1,1,0
2008,8,occasionally,practically never,,,8,neither agree nor disagree,agree,neither agree nor disagree,,,,,42,39,3,3,4,4,1,1,0,0,0,0
2009,8,practically never,practically never,agree entirely,,7,neither agree nor disagree,agree,disagree,,,,,43,40,3,3,4,4,1,1,0,0,0,0
2011,I don’t know,practically never,occasionally,fairly agree,"not good, not poor",7,neither agree nor disagree,agree,neither agree nor disagree,,,,,45,42,3,3,4,4,1,1,0,0,0,0
2012,8,practically never,occasionally,,"not good, not poor",7,neither agree nor disagree,agree,disagree,,,,,46,43,3,3,4,4,1,1,0,0,0,0
2013,8,practically never,occasionally,fairly agree,"not good, not poor",8,,,,,,,,47,44,3,3,4,4,1,0,1,1,0,0
2008,entirely satisfied,practically never,practically never,,,8,fully disagree,agree,neither agree nor disagree,,,,,34,33,1,2,1,1,0,1,0,0,0,0
2008,9,practically never,occasionally,,,7,neither agree nor disagree,agree,disagree,,,,,34,33,1,2,1,1,1,1,0,0,0,0
2009,entirely satisfied,practically never,occasionally,fairly agree,,8,disagree,neither agree nor disagree,neither agree nor disagree,10,,,,35,34,1,2,1,1,0,1,0,0,1,1
2009,8,occasionally,occasionally,fairly agree,,8,disagree,agree,disagree,44,0,,65,35,34,1,2,1,1,1,1,0,0,1,1
2010,8,occasionally,practically never,,,8,disagree,neither agree nor disagree,disagree,18,0,,,36,35,1,2,1,1,0,1,0,0,1,1
2010,8,practically never,occasionally,,,7,disagree,agree,disagree,30,20,,68,36,35,1,2,1,1,1,1,0,0,1,1
2011,8,occasionally,occasionally,agree entirely,good,8,fully disagree,agree,neither agree nor disagree,,,,,37,36,1,2,1,1,0,1,0,0,1,1
2011,8,occasionally,occasionally,slightly disagree,good,8,fully disagree,agree,fully disagree,,,,,37,36,1,2,1,1,1,1,0,0,1,1
2012,9,occasionally,occasionally,,good,8,disagree,agree,neither agree nor disagree,27,0,,,38,37,2,2,1,1,0,1,0,0,1,1
2012,8,practically never,occasionally,,good,7,fully disagree,neither agree nor disagree,fully disagree,45,30,,219,38,37,2,2,1,1,1,1,0,0,1,1
2013,8,practically never,practically never,agree entirely,good,8,disagree,agree,neither agree nor disagree,,,,,39,38,2,2,1,1,0,1,0,0,1,1
2013,8,occasionally,occasionally,agree entirely,good,8,fully disagree,agree,fully disagree,,,,,39,38,2,2,1,1,1,1,0,0,1,1
2014,9,practically never,occasionally,,good,8,disagree,agree,neither agree nor disagree,,,,,40,39,2,2,1,1,0,1,0,0,1,1
2014,8,practically never,occasionally,,good,7,fully disagree,agree,disagree,,,,,40,39,2,2,1,1,1,1,0,0,1,1
2015,entirely satisfied,practically never,occasionally,,very good,8,fully disagree,neither agree nor disagree,disagree,20,0,,,42,41,2,2,1,1,0,1,0,0,1,1
2015,8,practically never,occasionally,,good,I don’t know,disagree,disagree,disagree,56,,109,,42,41,2,2,1,1,1,1,0,0,1,1
2016,8,practically never,practically never,,very good,8,disagree,agree,neither agree nor disagree,,,,,43,42,2,2,1,1,0,1,0,0,1,1
2016,9,occasionally,occasionally,,good,8,fully disagree,neither agree nor disagree,disagree,,,,,43,42,2,2,1,1,1,1,0,0,1,1
2008,9,occasionally,occasionally,,,8,fully agree,disagree,agree,,,,,50,43,3,1,1,1,0,0,1,0,0,0
2008,8,often,practically never,,,9,neither agree nor disagree,disagree,neither agree nor disagree,,,,,50,43,3,1,1,1,1,0,1,0,0,0
2009,9,occasionally,occasionally,fairly agree,,8,agree,agree,agree,8,,,160,51,44,3,1,1,1,0,0,1,0,0,0
2009,8,occasionally,practically never,agree entirely,,7,agree,disagree,neither agree nor disagree,0,,,,51,44,3,1,1,1,1,0,1,0,0,0
2010,9,occasionally,occasionally,,,7,fully agree,agree,agree,20,0,,,52,45,3,1,1,1,0,0,1,0,0,0
2010,8,practically never,practically never,,,8,agree,neither agree nor disagree,neither agree nor disagree,0,0,,,52,45,3,1,1,1,1,0,1,0,0,0
2011,9,practically never,occasionally,agree entirely,"not good, not poor",7,agree,disagree,agree,,,,,53,46,3,1,1,1,0,0,1,0,0,0
2011,8,practically never,occasionally,agree entirely,"not good, not poor",8,agree,neither agree nor disagree,disagree,,,,,53,46,3,1,1,1,1,0,1,0,0,0
2008,7,occasionally,occasionally,,,8,neither agree nor disagree,neither agree nor disagree,agree,,,,,37,35,1,1,1,3,0,1,0,0,1,0
2009,7,occasionally,occasionally,fairly agree,,,agree,agree,agree,,,,,38,36,1,1,1,3,0,1,0,0,2,0
2009,9,occasionally,often,slightly disagree,,I don’t know,fully disagree,fully agree,fully disagree,2,,,31,38,36,1,1,1,3,1,1,0,0,2,0
2010,8,occasionally,occasionally,,,8,neither agree nor disagree,agree,agree,5,0,,,39,37,1,1,1,3,0,1,0,0,2,0
2010,8,often,often,,,8,disagree,fully agree,neither agree nor disagree,30,6,,55,39,37,1,1,1,3,1,1,0,0,2,0
2011,8,often,occasionally,fairly agree,"not good, not poor",8,fully disagree,fully agree,fully disagree,,,,,40,38,1,1,1,3,1,1,0,0,2,0
2012,9,often,occasionally,,"not good, not poor",10 completely satisfied,disagree,fully agree,fully disagree,10,0,,132,41,39,1,1,1,3,1,1,0,0,2,0
2013,9,often,occasionally,agree entirely,good,7,fully disagree,fully agree,fully disagree,,,,,42,40,1,1,1,3,1,1,0,0,2,0
2014,7,often,often,,good,8,fully disagree,fully agree,neither agree nor disagree,,,,,43,41,1,1,1,3,1,1,0,0,2,0
2015,7,occasionally,often,,very good,8,fully disagree,fully agree,fully disagree,25,0,250,,45,43,1,1,1,3,1,1,0,0,2,0
2016,8,often,often,,very good,2,fully disagree,fully agree,neither agree nor disagree,,,,,46,44,1,1,1,3,1,0,1,1,2,0
2008,8,occasionally,occasionally,,,7,neither agree nor disagree,agree,neither agree nor disagree,,,,,45,53,3,3,1,1,0,0,1,1,1,0
2008,7,practically never,practically never,,,7,fully disagree,fully agree,fully disagree,,,,,45,53,3,3,1,1,1,0,1,1,1,0
2010,8,occasionally,occasionally,,,,,,,7,30,,,47,55,3,3,1,1,0,0,1,1,1,0
2010,7,practically never,occasionally,,,8,neither agree nor disagree,fully agree,fully disagree,4,0,,305,47,55,3,3,1,1,1,0,1,1,1,0
2011,7,occasionally,occasionally,slightly disagree,"not good, not poor",7,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,,,,,48,56,3,3,1,1,0,0,1,1,1,0
2011,7,practically never,occasionally,fairly agree,good,7,neither agree nor disagree,fully agree,fully disagree,,,,,48,56,3,3,1,1,1,0,1,1,1,0
2012,6,occasionally,occasionally,,good,6,neither agree nor disagree,agree,disagree,14,0,,,49,57,3,3,1,1,0,0,1,1,1,0
2012,7,practically never,practically never,,good,8,fully disagree,fully agree,fully disagree,10,0,,90,49,57,3,3,1,1,1,0,1,1,1,0
2013,7,occasionally,occasionally,fairly agree,good,7,neither agree nor disagree,agree,neither agree nor disagree,,,,,50,58,3,3,1,1,0,0,1,1,1,0
2013,8,practically never,practically never,agree entirely,"not good, not poor",7,,,,,,,,50,58,3,3,1,1,1,0,1,1,1,0
2013,7,practically never,occasionally,slightly agree,good,8,disagree,agree,fully disagree,,,,,46,45,2,3,1,1,1,0,1,0,2,0
2014,6,practically never,occasionally,,good,7,,,,,,,,47,46,2,3,1,1,1,0,1,0,2,0
2012,8,occasionally,occasionally,,good,8,agree,neither agree nor disagree,agree,2,0,,205,42,42,3,3,4,4,0,1,0,0,2,0
2013,8,occasionally,occasionally,fairly agree,good,8,agree,neither agree nor disagree,agree,,,,,43,43,3,3,4,4,0,1,0,0,2,0
2014,8,practically never,practically never,,good,8,agree,neither agree nor disagree,agree,,,,,44,44,3,3,4,4,0,1,0,0,2,0
2015,8,occasionally,practically never,,good,8,agree,neither agree nor disagree,agree,16,,600,,45,45,3,3,4,4,0,0,1,1,2,0
2016,8,occasionally,occasionally,,good,8,agree,neither agree nor disagree,agree,,,,,46,46,3,3,4,4,0,0,1,1,2,0
2010,6,occasionally,often,,,,neither agree nor disagree,agree,disagree,,,,,44,46,3,3,1,1,0,0,1,0,2,1
2010,7,practically never,occasionally,,,,disagree,disagree,disagree,,,,,44,46,3,3,1,1,1,0,1,0,2,1
2013,7,practically never,occasionally,fairly agree,very good,,,,,,,,,47,49,3,3,1,1,0,0,1,0,2,1
2008,8,practically never,practically never,,,,agree,disagree,disagree,,,,,41,31,3,3,4,4,1,1,0,0,1,0
2008,9,occasionally,practically never,,,9,agree,fully agree,disagree,,,,,49,44,2,3,1,1,0,0,1,0,3,1
2008,9,occasionally,practically never,,,9,disagree,agree,disagree,,,,,49,44,2,3,1,1,1,0,1,0,3,1
2009,8,practically never,occasionally,agree entirely,,9,neither agree nor disagree,fully agree,disagree,7,,,687,50,45,2,3,1,1,0,0,1,0,3,1
2009,9,occasionally,practically never,agree entirely,,8,neither agree nor disagree,agree,disagree,7,,,,50,45,2,3,1,1,1,0,1,0,3,1
2010,9,practically never,practically never,,,10 completely satisfied,agree,agree,fully disagree,16,15,,930,51,47,2,3,1,1,0,0,1,0,3,1
2010,9,occasionally,practically never,,,8,agree,neither agree nor disagree,disagree,20,0,,,51,47,2,3,1,1,1,0,1,0,3,1
2008,entirely satisfied,practically never,practically never,,,8,disagree,agree,disagree,,,,,41,39,2,1,1,1,0,0,1,1,0,0
2008,entirely satisfied,practically never,practically never,,,10 completely satisfied,neither agree nor disagree,agree,disagree,,,,,41,39,2,1,1,1,1,0,1,1,0,0
2009,entirely satisfied,practically never,practically never,agree entirely,,9,fully disagree,fully agree,disagree,0,,,,42,40,2,1,1,1,0,0,1,1,0,0
2009,entirely satisfied,practically never,practically never,agree entirely,,9,neither agree nor disagree,fully agree,fully disagree,2,,,0,42,40,2,1,1,1,1,0,1,1,0,0
2011,entirely satisfied,practically never,practically never,agree entirely,very good,10 completely satisfied,,,,,,,,44,42,2,1,1,1,0,0,1,1,0,0
2011,entirely satisfied,practically never,practically never,agree entirely,very good,10 completely satisfied,,,,,,,,44,42,2,1,1,1,1,0,1,1,0,0
2008,entirely satisfied,practically never,occasionally,,,9,disagree,disagree,neither agree nor disagree,,,,,39,37,1,2,4,4,1,1,0,0,0,0
2008,entirely satisfied,practically never,practically never,,,9,fully agree,agree,disagree,,,,,42,35,2,2,2,2,0,1,0,0,1,1
2008,entirely satisfied,occasionally,occasionally,,,9,,,,,,,,42,35,2,2,2,2,1,1,0,0,1,1
2009,entirely satisfied,occasionally,practically never,agree entirely,,8,neither agree nor disagree,agree,agree,12,,,,43,,2,,2,2,0,1,0,0,1,1
2009,entirely satisfied,occasionally,occasionally,slightly agree,,10 completely satisfied,neither agree nor disagree,fully agree,disagree,,,,,43,,2,,2,2,1,1,0,0,1,1
2008,7,occasionally,occasionally,,,6,neither agree nor disagree,agree,disagree,,,,,44,45,2,2,2,1,0,0,1,0,1,0
2008,8,practically never,occasionally,,,7,neither agree nor disagree,disagree,disagree,,,,,44,45,2,2,2,1,1,0,1,0,1,0
2008,7,often,often,,,8,disagree,agree,disagree,,,,,43,43,1,2,4,4,1,0,1,0,1,1
2009,7,occasionally,occasionally,slightly agree,,,disagree,neither agree nor disagree,disagree,,,,,44,44,1,2,4,4,1,0,1,0,1,1
2008,entirely satisfied,practically never,practically never,,,9,disagree,neither agree nor disagree,disagree,,,,,37,34,1,2,1,1,1,1,0,0,2,1
2010,9,practically never,practically never,,,,,,,,,,,39,36,1,2,1,1,1,1,0,0,2,1
2013,8,practically never,practically never,slightly disagree,good,,disagree,neither agree nor disagree,disagree,,,,,42,39,1,2,1,1,1,1,0,0,2,1
2014,8,practically never,practically never,,good,7,disagree,neither agree nor disagree,neither agree nor disagree,,,,,43,40,1,2,1,1,1,1,0,0,2,1
2015,9,practically never,practically never,,good,,fully disagree,neither agree nor disagree,neither agree nor disagree,24,,140,,45,41,1,2,1,1,1,1,0,0,2,1
2014,7,occasionally,practically never,,"not good, not poor",7,,,,,,,,46,42,3,1,1,1,0,1,0,0,0,0
2014,6,occasionally,occasionally,,good,7,,,,,,,,46,42,3,1,1,1,1,1,0,0,0,0
2015,6,practically never,occasionally,,good,6,fully disagree,agree,fully disagree,10,,,,48,43,3,1,1,1,0,1,0,0,0,0
2015,8,practically never,practically never,,good,8,neither agree nor disagree,agree,agree,20,,100,,48,43,3,1,1,1,1,1,0,0,0,0
2016,7,practically never,practically never,,good,9,fully disagree,agree,agree,,,,,49,44,3,1,1,1,0,1,0,0,0,0
2016,7,not applicable,occasionally,,good,7,neither agree nor disagree,disagree,agree,,,,,49,44,3,1,1,1,1,1,0,0,0,0
2008,8,practically never,practically never,,,8,fully disagree,agree,neither agree nor disagree,,,,,40,39,2,3,1,1,1,0,0,0,1,0
2008,9,practically never,occasionally,,,7,disagree,agree,neither agree nor disagree,,,,,40,39,2,3,1,1,0,0,0,0,1,0
2009,8,practically never,practically never,slightly disagree,,8,disagree,agree,agree,30,,,70,41,40,2,3,1,1,1,0,0,0,1,0
2010,7,practically never,occasionally,,,7,disagree,neither agree nor disagree,agree,18,0,,90,42,41,2,3,1,1,1,0,0,0,1,0
2010,entirely satisfied,practically never,occasionally,,,7,neither agree nor disagree,neither agree nor disagree,disagree,,,,,42,41,2,3,1,1,0,0,0,0,1,0
2011,8,practically never,practically never,fairly agree,good,7,disagree,agree,agree,,,,,43,42,2,3,1,1,1,0,0,0,1,0
2011,9,practically never,practically never,slightly disagree,good,7,fully disagree,neither agree nor disagree,agree,,,,,43,42,2,3,1,1,0,0,0,0,1,0
2012,7,practically never,practically never,,good,7,disagree,agree,agree,24,0,,75,44,43,2,3,1,1,1,0,1,0,1,0
2012,8,practically never,practically never,,good,7,,,,6,30,,,44,43,2,3,1,1,0,0,1,0,1,0
2013,7,practically never,practically never,agree entirely,good,,disagree,agree,agree,,,,,45,44,2,3,1,1,1,0,1,0,1,0
2013,8,practically never,occasionally,slightly agree,good,7,,,,,,,,45,44,2,3,1,1,0,0,1,0,1,0
2014,7,practically never,practically never,,good,7,neither agree nor disagree,agree,agree,,,,,46,45,2,3,1,1,1,0,1,0,1,0
2014,9,occasionally,occasionally,,good,7,,,,,,,,46,45,2,3,1,1,0,0,1,0,1,0
2015,7,practically never,practically never,,good,7,neither agree nor disagree,agree,agree,12,0,1400,,47,47,2,3,1,1,1,0,1,0,1,0
2016,8,practically never,practically never,,good,7,neither agree nor disagree,agree,neither agree nor disagree,,,,,48,48,2,3,1,1,1,0,1,0,1,0
2009,entirely satisfied,practically never,practically never,slightly agree,,8,neither agree nor disagree,neither agree nor disagree,agree,12,,,,35,27,3,3,1,1,0,0,0,0,0,0
2009,entirely satisfied,practically never,practically never,agree entirely,,10 completely satisfied,neither agree nor disagree,disagree,disagree,40,,,60,35,27,3,3,1,1,1,0,0,0,0,0
2010,entirely satisfied,practically never,practically never,,,7,disagree,neither agree nor disagree,disagree,14,0,,,36,28,3,3,1,1,0,0,0,0,1,1
2010,entirely satisfied,not applicable,not applicable,,,9,disagree,disagree,disagree,68,50,,106,36,28,3,3,1,1,1,0,0,0,1,1
2011,9,practically never,practically never,agree entirely,good,9,disagree,disagree,agree,,,,,37,29,3,3,1,1,1,0,0,0,1,1
2011,entirely satisfied,practically never,practically never,slightly disagree,very good,8,neither agree nor disagree,neither agree nor disagree,agree,,,,,37,29,3,3,1,1,0,0,0,0,1,1
2012,8,practically never,practically never,,very good,8,agree,neither agree nor disagree,agree,34,0,,40,38,30,3,3,1,1,1,0,0,0,1,1
2012,9,practically never,practically never,,very good,8,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,,,,,38,30,3,3,1,1,0,0,0,0,1,1
2013,entirely satisfied,practically never,occasionally,fairly agree,very good,7,disagree,disagree,agree,,,,,39,31,3,3,1,1,0,0,0,0,1,1
2013,9,practically never,practically never,fairly agree,good,8,neither agree nor disagree,disagree,agree,,,,,39,31,3,3,1,1,1,0,0,0,1,1
2014,entirely satisfied,practically never,practically never,,very good,8,disagree,neither agree nor disagree,agree,,,,,40,32,3,3,1,1,0,0,0,0,1,1
2014,entirely satisfied,practically never,practically never,,good,9,neither agree nor disagree,disagree,agree,,,,,40,32,3,3,1,1,1,0,0,0,1,1
2015,entirely satisfied,practically never,practically never,,very good,8,neither agree nor disagree,neither agree nor disagree,disagree,18,0,,,41,33,3,3,1,1,0,0,0,0,2,2
2015,entirely satisfied,practically never,practically never,,good,9,agree,disagree,agree,84,0,100,,41,33,3,3,1,1,1,0,0,0,2,2
2016,entirely satisfied,practically never,practically never,,very good,8,neither agree nor disagree,disagree,neither agree nor disagree,,,,,42,34,3,3,1,1,0,0,0,0,2,2
2016,entirely satisfied,not applicable,not applicable,,good,8,agree,disagree,agree,,,,,42,34,3,3,1,1,1,0,0,0,2,2
2012,9,occasionally,occasionally,,very good,10 completely satisfied,neither agree nor disagree,agree,disagree,12,0,,145,45,43,2,2,4,4,1,0,1,1,1,1
2013,9,practically never,occasionally,fairly agree,good,9,disagree,agree,disagree,,,,,46,44,2,2,4,4,1,0,1,1,1,1
2014,9,practically never,occasionally,,good,10 completely satisfied,neither agree nor disagree,agree,neither agree nor disagree,,,,,47,45,2,2,4,4,1,0,1,1,1,1
2011,entirely satisfied,practically never,occasionally,fairly agree,very good,9,fully disagree,neither agree nor disagree,agree,,,,,41,34,3,2,1,2,0,1,0,0,0,0
2011,entirely satisfied,practically never,occasionally,fairly agree,good,8,agree,neither agree nor disagree,agree,,,,,41,34,3,2,1,2,1,1,0,0,0,0
2008,8,occasionally,occasionally,,,9,disagree,disagree,agree,,,,,38,33,3,2,1,1,0,1,0,0,2,1
2008,8,occasionally,occasionally,,,7,agree,disagree,agree,,,,,38,33,3,2,1,1,1,1,0,0,2,1
2009,8,occasionally,occasionally,fairly agree,,9,neither agree nor disagree,neither agree nor disagree,agree,13,,,,39,34,3,2,1,1,0,1,0,0,2,1
2009,8,occasionally,occasionally,fairly agree,,8,agree,disagree,neither agree nor disagree,20,,,360,39,34,3,2,1,1,1,1,0,0,2,1
2010,9,occasionally,practically never,,,8,neither agree nor disagree,disagree,agree,6,0,,,40,35,3,2,1,1,0,1,0,0,3,2
2010,9,occasionally,occasionally,,,8,agree,disagree,agree,21,0,,0,40,35,3,2,1,1,1,1,0,0,3,2
2011,9,occasionally,practically never,slightly agree,good,9,neither agree nor disagree,neither agree nor disagree,agree,,,,,41,36,3,2,1,1,0,1,0,0,3,2
2011,9,occasionally,practically never,fairly agree,very good,9,agree,fully disagree,agree,,,,,41,36,3,2,1,1,1,1,0,0,3,2
2012,8,occasionally,practically never,,good,8,neither agree nor disagree,disagree,agree,4,0,,,42,37,3,2,1,1,0,1,0,0,3,2
2012,9,occasionally,occasionally,,good,9,fully agree,fully disagree,agree,20,0,,160,42,37,3,2,1,1,1,1,0,0,3,2
2013,8,occasionally,practically never,fairly agree,good,8,neither agree nor disagree,neither agree nor disagree,agree,,,,,43,38,3,2,1,1,0,1,0,0,3,2
2013,9,occasionally,practically never,agree entirely,good,8,fully agree,fully disagree,agree,,,,,43,38,3,2,1,1,1,1,0,0,3,2
2014,8,occasionally,occasionally,,good,8,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,,,,,44,39,3,2,1,1,0,0,1,1,3,2
2014,7,occasionally,practically never,,good,8,agree,fully disagree,disagree,,,,,44,39,3,2,1,1,1,0,1,1,3,2
2015,8,occasionally,practically never,,"not good, not poor",7,neither agree nor disagree,neither agree nor disagree,agree,10,,,,45,40,3,2,1,1,0,0,1,1,3,2
2015,9,practically never,practically never,,good,8,agree,fully disagree,agree,20,,15,,45,40,3,2,1,1,1,0,1,1,3,2
2016,9,occasionally,occasionally,,"not good, not poor",8,neither agree nor disagree,neither agree nor disagree,agree,,,,,46,41,3,2,1,1,0,0,1,1,3,2
2016,7,practically never,practically never,,good,7,agree,disagree,agree,,,,,46,41,3,2,1,1,1,0,1,1,3,2
2008,8,occasionally,occasionally,,,8,neither agree nor disagree,neither agree nor disagree,agree,,,,,45,42,3,2,1,3,0,0,1,0,0,0
2008,8,occasionally,occasionally,,,8,agree,agree,neither agree nor disagree,,,,,45,42,3,2,1,3,1,0,1,0,0,0
2009,8,occasionally,occasionally,fairly agree,,8,disagree,disagree,agree,0,,,,46,43,3,2,1,3,0,0,1,0,0,0
2009,8,occasionally,occasionally,fairly agree,,8,neither agree nor disagree,agree,disagree,,0,,,46,43,3,2,1,3,1,0,1,0,0,0
2008,8,occasionally,occasionally,,,8,fully disagree,agree,disagree,,,,,38,31,2,2,1,1,0,0,0,0,0,0
2008,entirely satisfied,practically never,occasionally,,,8,neither agree nor disagree,agree,disagree,,,,,38,31,2,2,1,1,1,0,0,0,0,0
2009,7,occasionally,often,fairly disagree,,8,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,30,,,210,39,32,2,2,1,1,0,0,0,0,0,0
2009,9,occasionally,often,disagree entirely,,6,neither agree nor disagree,agree,neither agree nor disagree,,,,,39,32,2,2,1,1,1,0,0,0,0,0
2008,7,practically never,occasionally,,,7,disagree,agree,fully agree,,,,,34,31,1,2,2,2,0,0,0,0,1,0
2008,2,practically never,often,,,8,neither agree nor disagree,neither agree nor disagree,agree,,,,,34,31,1,2,2,2,1,0,0,0,1,0
2009,9,practically never,occasionally,agree entirely,,8,disagree,agree,agree,26,,,,35,32,2,2,2,2,0,0,0,0,1,0
2009,9,practically never,occasionally,agree entirely,,10 completely satisfied,neither agree nor disagree,agree,agree,0,0,,,35,32,2,2,2,2,1,0,0,0,1,0
2010,7,practically never,occasionally,,,I don’t know,disagree,agree,agree,10,0,,,36,33,2,2,2,2,0,0,0,0,2,0
2010,8,practically never,occasionally,,,9,fully disagree,agree,fully agree,10,0,,110,36,33,2,2,2,2,1,0,0,0,2,0
2011,I don’t know,occasionally,often,fairly agree,"not good, not poor",8,disagree,agree,agree,,,,,37,34,2,2,2,2,0,0,0,0,2,0
2011,9,practically never,occasionally,fairly agree,very good,10 completely satisfied,neither agree nor disagree,neither agree nor disagree,agree,,,,,37,34,2,2,2,2,1,0,0,0,2,0
2012,8,occasionally,occasionally,,good,7,disagree,agree,agree,12,0,,,38,35,2,2,2,2,0,0,0,0,2,0
2013,7,occasionally,often,slightly agree,"not good, not poor",6,fully disagree,neither agree nor disagree,neither agree nor disagree,,,,,39,36,2,2,2,2,0,0,0,0,2,0
2013,8,practically never,often,fairly agree,very good,9,neither agree nor disagree,fully agree,neither agree nor disagree,,,,,39,36,2,2,2,2,1,0,0,0,2,0
2014,8,occasionally,occasionally,,good,7,fully disagree,neither agree nor disagree,agree,,,,,40,37,2,2,2,2,0,0,0,0,2,0
2014,entirely satisfied,practically never,occasionally,,very good,9,fully agree,agree,agree,,,,,40,37,2,2,2,2,1,0,0,0,2,0
2015,8,occasionally,often,,good,7,disagree,neither agree nor disagree,agree,15,,,,41,39,2,2,2,2,0,0,1,0,2,0
2015,8,practically never,often,,very good,9,disagree,agree,neither agree nor disagree,12,0,50,,41,39,2,2,2,2,1,0,1,0,2,0
2016,7,occasionally,often,,good,7,disagree,agree,agree,,,,,42,40,2,2,2,2,0,0,1,0,2,0
2016,9,practically never,occasionally,,very good,9,disagree,agree,agree,,,,,42,40,2,2,2,2,1,0,1,0,2,0
2008,entirely satisfied,practically never,occasionally,,,7,disagree,disagree,fully disagree,,,,,40,39,3,3,1,1,0,0,0,0,2,1
2008,9,occasionally,occasionally,,,8,fully disagree,agree,fully disagree,,,,,40,39,3,3,1,1,1,0,0,0,2,1
2009,9,practically never,occasionally,fairly agree,,8,neither agree nor disagree,disagree,disagree,,,,,41,40,3,3,1,1,0,0,0,0,2,1
2009,9,occasionally,occasionally,agree entirely,,8,fully disagree,fully agree,fully disagree,,,,,41,40,3,3,1,1,1,0,0,0,2,1
2014,5,occasionally,occasionally,,good,,,,,,,,,34,33,1,1,4,4,1,0,0,0,0,0
2008,8,occasionally,occasionally,,,7,neither agree nor disagree,agree,neither agree nor disagree,,,,,32,27,2,1,1,1,0,1,0,0,1,1
2008,9,practically never,occasionally,,,7,neither agree nor disagree,neither agree nor disagree,disagree,,,,,32,27,2,1,1,1,1,1,0,0,1,1
2009,7,occasionally,often,slightly disagree,,7,neither agree nor disagree,agree,disagree,50,0,,,33,28,2,1,1,1,0,1,0,0,2,1
2009,9,practically never,occasionally,fairly agree,,7,neither agree nor disagree,disagree,disagree,60,0,,130,33,28,2,1,1,1,1,1,0,0,2,1
2010,7,occasionally,often,,,7,neither agree nor disagree,agree,disagree,5,0,,,34,29,2,1,1,1,0,1,0,0,2,1
2010,7,practically never,occasionally,,,8,neither agree nor disagree,agree,fully disagree,35,0,,115,34,29,2,1,1,1,1,1,0,0,2,1
2011,6,practically never,occasionally,slightly agree,good,6,neither agree nor disagree,neither agree nor disagree,fully disagree,,,,,35,30,2,1,1,1,0,1,0,0,2,1
2012,7,occasionally,occasionally,,good,6,neither agree nor disagree,agree,fully disagree,24,0,,,36,31,2,1,1,1,0,1,0,0,2,1
2012,7,occasionally,often,,very good,7,,,,,,,,36,31,2,1,1,1,1,1,0,0,2,1
2013,6,occasionally,often,slightly agree,good,6,neither agree nor disagree,agree,fully disagree,,,,,37,32,2,1,1,1,0,1,0,0,2,1
2013,6,practically never,occasionally,slightly agree,good,5,disagree,agree,agree,,,,,37,32,2,1,1,1,1,1,0,0,2,1
2014,6,occasionally,often,,"not good, not poor",,,,,,,,,38,33,2,2,1,1,0,1,0,0,2,1
2014,3,practically never,occasionally,,very good,3,neither agree nor disagree,disagree,fully agree,,,,,38,33,2,2,1,1,1,1,0,0,2,1
2014,entirely satisfied,occasionally,occasionally,,good,,,,,,,,,35,32,3,2,1,3,0,0,0,0,1,0
2014,entirely satisfied,occasionally,practically never,,very good,,,,,,,,,35,32,3,2,1,3,1,0,0,0,1,0
2015,9,often,occasionally,,"not good, not poor",,,,,,,,,37,33,3,2,1,3,0,0,0,0,1,0
2015,9,occasionally,occasionally,,very good,,,,,,,,,37,33,3,2,1,3,1,0,0,0,1,0
2016,8,often,occasionally,,good,8,disagree,fully agree,disagree,,,,,38,34,3,2,1,3,0,0,0,0,1,0
