year,f180,f182,f183,f427,f432,p011,v124,v129,v151,b013,b014,b135,b114,age_m,age_w,edu_m,edu_w,gen_m,gen_w,mom,DGH012,PUB,DPUB,NSIB018H,NSIB018DH
2013,entirely satisfied,occasionally,occasionally,slightly agree,very good,8,agree,agree,neither agree nor disagree,,,,,37,34,1,1,1,1,1,0,1,1,3,0
2014,9,often,occasionally,,very good,7,,,,,,,,38,35,1,1,1,1,0,0,1,1,3,0
2014,9,often,occasionally,,very good,7,,,,,,,,38,35,1,1,1,1,1,0,1,1,3,0
2015,entirely satisfied,occasionally,occasionally,,very good,8,,,,10,0,,,40,36,1,1,1,1,0,0,1,1,3,0
2015,entirely satisfied,occasionally,occasionally,,good,8,,,,15,0,100,,40,36,1,1,1,1,1,0,1,1,3,0
2016,7,occasionally,occasionally,,good,6,neither agree nor disagree,neither agree nor disagree,disagree,,,,,41,37,1,1,1,1,0,0,1,1,3,0
2016,7,occasionally,occasionally,,good,6,neither agree nor disagree,neither agree nor disagree,disagree,,,,,41,37,1,1,1,1,1,0,1,1,3,0
2014,6,occasionally,often,,very good,6,,,,,,,,33,32,2,3,4,4,1,1,0,0,2,2
2008,8,occasionally,often,,,7,neither agree nor disagree,disagree,agree,,,,,38,38,2,2,3,1,0,1,0,0,2,1
2008,8,often,occasionally,,,8,disagree,agree,disagree,,,,,38,38,2,2,3,1,1,1,0,0,2,1
2009,7,often,occasionally,agree entirely,,7,disagree,disagree,agree,15,,,,39,39,2,2,3,1,0,1,0,0,2,1
2009,8,occasionally,occasionally,agree entirely,,7,disagree,agree,disagree,26,0,,,39,39,2,2,3,1,1,1,0,0,2,1
2010,7,occasionally,occasionally,,,7,neither agree nor disagree,agree,disagree,20,15,,170,40,40,2,2,3,1,0,1,0,0,2,1
2010,7,occasionally,often,,,8,disagree,neither agree nor disagree,disagree,24,30,,,40,40,2,2,3,1,1,1,0,0,2,1
2011,8,often,occasionally,fairly agree,good,8,agree,neither agree nor disagree,agree,,,,,41,41,2,2,3,1,0,1,0,0,2,1
2011,7,occasionally,often,agree entirely,good,7,neither agree nor disagree,agree,neither agree nor disagree,,,,,41,41,2,2,3,1,1,1,0,0,2,1
2012,8,occasionally,occasionally,,very good,7,agree,agree,agree,8,30,,0,42,42,2,2,3,1,0,1,0,0,2,1
2012,8,occasionally,often,,good,8,fully disagree,agree,disagree,14,20,,,42,42,2,2,3,1,1,1,0,0,2,1
2013,7,occasionally,occasionally,fairly agree,"not good, not poor",8,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,,,,,43,43,2,2,3,1,0,1,0,0,2,1
2013,8,occasionally,occasionally,agree entirely,good,8,fully disagree,neither agree nor disagree,disagree,,,,,43,43,2,2,3,1,1,1,0,0,2,1
2014,7,occasionally,occasionally,,good,8,disagree,agree,neither agree nor disagree,,,,,44,44,2,2,3,1,0,0,1,1,2,1
2014,8,occasionally,occasionally,,good,7,disagree,agree,disagree,,,,,44,44,2,2,3,1,1,0,1,1,2,1
2015,8,occasionally,occasionally,,"not good, not poor",8,agree,neither agree nor disagree,neither agree nor disagree,10,30,300,,46,45,2,2,3,1,0,0,1,1,2,1
2015,7,occasionally,occasionally,,good,7,neither agree nor disagree,agree,fully disagree,30,0,,,46,45,2,2,3,1,1,0,1,1,2,1
2016,8,occasionally,occasionally,,good,7,disagree,agree,disagree,,,,,47,46,2,2,3,1,0,0,1,1,2,1
2016,8,occasionally,occasionally,,good,8,disagree,agree,disagree,,,,,47,46,2,2,3,1,1,0,1,1,2,1
2008,7,occasionally,occasionally,,,7,disagree,agree,disagree,,,,,45,45,3,1,4,4,1,0,1,0,1,1
2008,entirely satisfied,not applicable,not applicable,,,9,neither agree nor disagree,neither agree nor disagree,fully disagree,,,,,44,42,2,1,2,1,0,0,1,1,1,1
2008,entirely satisfied,not applicable,not applicable,,,9,disagree,agree,disagree,,,,,44,42,2,1,2,1,1,0,1,1,1,1
2009,entirely satisfied,practically never,practically never,slightly agree,,10 completely satisfied,neither agree nor disagree,agree,neither agree nor disagree,10,,,,45,43,2,1,2,1,0,0,1,1,1,1
2009,entirely satisfied,practically never,practically never,fairly agree,,9,disagree,agree,disagree,10,,,140,45,43,2,1,2,1,1,0,1,1,1,1
2010,entirely satisfied,practically never,practically never,,,10 completely satisfied,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,2,0,,,46,44,2,1,2,1,0,0,1,1,1,1
2010,9,practically never,practically never,,,9,disagree,agree,disagree,1,0,,150,46,44,2,1,2,1,1,0,1,1,1,1
2011,entirely satisfied,practically never,practically never,slightly agree,very good,10 completely satisfied,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,,,,,47,45,2,1,2,1,0,0,1,1,1,1
2011,entirely satisfied,practically never,practically never,fairly agree,good,9,,,,,,,,47,45,2,1,2,1,1,0,1,1,1,1
2008,8,occasionally,practically never,,,7,neither agree nor disagree,agree,disagree,,,,,38,37,3,3,3,1,0,0,0,0,1,0
2008,8,practically never,practically never,,,8,disagree,agree,disagree,,,,,38,37,3,3,3,1,1,0,0,0,1,0
2009,8,occasionally,occasionally,agree entirely,,8,neither agree nor disagree,neither agree nor disagree,fully disagree,14,,,,39,38,3,3,3,1,0,0,0,0,2,0
2009,7,occasionally,occasionally,agree entirely,,8,fully disagree,agree,fully disagree,21,,,300,39,38,3,3,3,1,1,0,0,0,2,0
2010,8,occasionally,occasionally,,,7,neither agree nor disagree,neither agree nor disagree,fully disagree,14,0,,,40,39,3,3,3,1,0,0,0,0,2,0
2010,7,occasionally,occasionally,,,8,disagree,neither agree nor disagree,disagree,21,0,,200,40,39,3,3,3,1,1,0,0,0,2,0
2011,8,occasionally,occasionally,agree entirely,very good,7,disagree,fully agree,fully disagree,,,,,41,40,3,3,3,1,0,0,0,0,2,0
2011,8,occasionally,occasionally,agree entirely,very good,8,fully disagree,fully agree,disagree,,,,,41,40,3,3,3,1,1,0,0,0,2,0
2012,7,occasionally,occasionally,,good,7,neither agree nor disagree,neither agree nor disagree,fully disagree,14,0,,,42,41,3,3,3,1,0,0,0,0,2,0
2012,8,occasionally,occasionally,,very good,7,neither agree nor disagree,agree,fully disagree,14,0,,310,42,41,3,3,3,1,1,0,0,0,2,0
2013,8,practically never,occasionally,fairly agree,very good,7,fully disagree,fully agree,disagree,,,,,43,,3,,3,1,1,0,1,0,2,0
2013,7,occasionally,occasionally,fairly agree,good,8,neither agree nor disagree,agree,fully disagree,,,,,43,,3,,3,1,0,0,1,0,2,0
2014,7,practically never,practically never,,very good,8,neither agree nor disagree,agree,disagree,,,,,44,,3,,3,1,1,0,1,0,2,0
2014,8,practically never,occasionally,,good,7,neither agree nor disagree,agree,fully disagree,,,,,44,,3,,3,1,0,0,1,0,2,0
2015,8,practically never,practically never,,very good,8,neither agree nor disagree,agree,disagree,,,,,46,,3,,3,1,1,0,1,0,2,0
2015,7,practically never,occasionally,,good,6,disagree,agree,disagree,16,,,,46,,3,,3,1,0,0,1,0,2,0
2016,7,practically never,practically never,,very good,7,disagree,fully agree,disagree,,,,,47,,3,,3,1,1,0,1,0,2,0
2016,7,practically never,practically never,,good,8,neither agree nor disagree,agree,disagree,,,,,47,,3,,3,1,0,0,1,0,2,0
2012,9,practically never,practically never,,good,8,,,,30,0,,,,45,,2,,1,1,0,0,0,0,0
2013,2,occasionally,occasionally,slightly disagree,good,I don’t know,disagree,neither agree nor disagree,neither agree nor disagree,,,,,51,46,2,2,1,1,1,0,0,0,0,0
2008,entirely satisfied,practically never,occasionally,,,8,neither agree nor disagree,agree,fully disagree,,,,,32,32,2,2,1,1,0,1,0,0,0,0
2008,entirely satisfied,occasionally,occasionally,,,9,fully disagree,agree,disagree,,,,,32,32,2,2,1,1,1,1,0,0,0,0
2009,entirely satisfied,occasionally,occasionally,fairly agree,,9,neither agree nor disagree,agree,agree,25,,,,33,33,2,2,1,1,0,1,0,0,1,1
2009,9,occasionally,occasionally,fairly agree,,,,,,,,,,33,33,2,2,1,1,1,1,0,0,1,1
2010,entirely satisfied,practically never,practically never,,,,,,,,,,,34,34,2,2,1,1,0,1,0,0,1,1
2010,9,occasionally,occasionally,,,,,,,,,,,34,34,2,2,1,1,1,1,0,0,1,1
2011,9,occasionally,occasionally,fairly agree,very good,,,,,,,,,35,35,2,2,1,1,1,1,0,0,1,1
2008,entirely satisfied,occasionally,occasionally,,,8,disagree,disagree,fully disagree,,,,,36,32,1,1,1,1,0,0,0,0,1,0
2008,9,occasionally,practically never,,,10 completely satisfied,neither agree nor disagree,agree,fully disagree,,,,,36,32,1,1,1,1,1,0,0,0,1,0
2009,8,occasionally,occasionally,fairly agree,,8,neither agree nor disagree,disagree,agree,15,,,,37,33,1,1,1,1,0,0,0,0,1,0
2009,entirely satisfied,occasionally,occasionally,disagree entirely,,9,fully agree,agree,fully disagree,35,,,75,37,33,1,1,1,1,1,0,0,0,1,0
2010,8,occasionally,occasionally,,,8,neither agree nor disagree,disagree,fully disagree,18,0,,,38,34,1,1,1,1,0,0,0,0,1,0
2010,entirely satisfied,practically never,occasionally,,,10 completely satisfied,fully agree,disagree,fully disagree,40,0,,80,38,34,1,1,1,1,1,0,0,0,1,0
2011,7,practically never,practically never,fairly agree,good,8,neither agree nor disagree,neither agree nor disagree,agree,,,,,39,35,1,1,1,1,0,0,0,0,2,0
2011,entirely satisfied,practically never,occasionally,agree entirely,very good,10 completely satisfied,fully agree,agree,fully disagree,,,,,39,35,1,1,1,1,1,0,0,0,2,0
2012,8,practically never,practically never,,good,I don’t know,neither agree nor disagree,disagree,neither agree nor disagree,7,0,,,40,36,1,1,1,1,0,0,0,0,2,0
2012,entirely satisfied,practically never,occasionally,,good,10 completely satisfied,fully agree,fully agree,fully disagree,40,0,,160,40,36,1,1,1,1,1,0,0,0,2,0
2013,7,occasionally,occasionally,fairly agree,very good,8,neither agree nor disagree,disagree,fully disagree,,,,,41,37,1,1,1,1,0,0,0,0,2,0
2013,entirely satisfied,practically never,practically never,agree entirely,good,10 completely satisfied,fully agree,agree,fully disagree,,,,,41,37,1,1,1,1,1,0,0,0,2,0
2014,8,occasionally,occasionally,,very good,8,disagree,neither agree nor disagree,disagree,,,,,42,38,1,1,1,1,0,0,0,0,2,0
2014,9,practically never,occasionally,,very good,9,fully agree,agree,fully disagree,,,,,42,38,1,1,1,1,1,0,0,0,2,0
2008,entirely satisfied,practically never,occasionally,,,9,neither agree nor disagree,agree,fully disagree,,,,,36,36,3,3,4,4,1,0,0,0,2,1
2008,7,practically never,often,,,,neither agree nor disagree,agree,neither agree nor disagree,,,,,46,44,3,2,1,1,0,0,1,0,4,2
2008,6,practically never,often,,,8,neither agree nor disagree,agree,agree,,,,,46,44,3,2,1,1,1,0,1,0,4,2
2009,7,practically never,often,fairly agree,,,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,,,,,47,45,3,2,1,1,0,0,1,0,4,2
2009,6,occasionally,often,fairly agree,,7,neither agree nor disagree,neither agree nor disagree,agree,20,,,,47,45,3,2,1,1,1,0,1,0,4,2
2010,7,practically never,often,,,7,,,,15,0,,,48,46,3,2,1,1,0,0,1,0,4,2
2010,6,practically never,often,,,7,neither agree nor disagree,neither agree nor disagree,agree,30,0,,425,48,46,3,2,1,1,1,0,1,0,4,2
2011,7,occasionally,often,fairly agree,good,5,neither agree nor disagree,disagree,neither agree nor disagree,,,,,49,47,3,2,1,1,1,0,1,0,4,2
2014,entirely satisfied,occasionally,occasionally,,good,,,,,,,,,52,50,3,2,4,4,0,0,1,0,1,0
2014,7,occasionally,occasionally,,good,,,,,,,,,52,50,3,2,4,4,1,0,1,0,1,0
2011,entirely satisfied,practically never,practically never,fairly agree,good,8,disagree,fully disagree,neither agree nor disagree,,,,,31,30,2,3,4,4,0,0,0,0,2,0
2012,9,occasionally,occasionally,,good,,,,,,,,,32,31,3,2,4,4,0,0,0,0,3,0
2012,9,occasionally,occasionally,,good,,fully disagree,neither agree nor disagree,fully disagree,,,,,32,31,3,2,4,4,1,0,0,0,3,0
2013,7,occasionally,often,slightly disagree,good,,,,,,,,,33,32,3,2,4,4,0,0,1,0,3,0
2013,9,occasionally,occasionally,agree entirely,very good,,,,,,,,,33,32,3,2,4,4,1,0,1,0,3,0
2014,8,practically never,occasionally,,very good,8,agree,agree,agree,,,,,34,33,3,2,4,4,0,0,1,0,3,0
2014,entirely satisfied,occasionally,occasionally,,good,9,agree,agree,fully agree,,,,,34,33,3,2,4,4,1,0,1,0,3,0
2015,7,often,often,,good,,neither agree nor disagree,agree,agree,5,,,,36,34,3,2,4,4,0,0,1,0,3,0
2015,8,occasionally,occasionally,,very good,,agree,agree,agree,110,,200,,36,34,3,2,4,4,1,0,1,0,3,0
2016,7,occasionally,often,,good,8,,,,,,,,37,35,3,2,4,4,0,0,1,0,3,0
2016,9,occasionally,occasionally,,good,8,,,,,,,,37,35,3,2,4,4,1,0,1,0,3,0
2011,9,occasionally,occasionally,slightly agree,very good,8,agree,fully disagree,agree,,,,,25,27,2,2,3,1,1,1,0,0,0,0
